yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-11	16:27:49.610	44.73	-7.63	9.205	0.963068	-0.132736	0.369172	-0.8325	0.0255	0.366	0	111	349	3
2026-02-11	16:27:49.630	29.855	-3.185	12.635	0.884744	-0.130784	0.348676	-0.8295	0.03	0.363	0	111	349	3
2026-02-11	16:27:49.650	12.25	0.175	18.165	0.894016	-0.135908	0.328668	-0.8265	0.03	0.3645	0	111	349	3
2026-02-11	16:27:49.670	-5.74	2.975	21.63	0.913048	-0.187636	0.305244	-0.819	0.039	0.363	0	111	349	3
2026-02-11	16:27:49.690	-18.55	5.6	25.55	0.951112	-0.255712	0.266204	-0.819	0.0405	0.372	0	111	349	3
2026-02-11	16:27:49.710	-21.21	7.805	28.84	0.974048	-0.239852	0.235704	-0.825	0.0615	0.3585	0	111	349	3
2026-02-11	16:27:49.730	-21.385	9.415	28.42	1.005036	-0.264496	0.211792	-0.813	0.06	0.357	0	111	349	3
2026-02-11	16:27:49.750	-16.8	11.725	27.475	0.989664	-0.269132	0.200324	-0.816	0.072	0.369	0	111	349	3
2026-02-11	16:27:49.770	-10.535	12.845	26.355	0.971852	-0.257664	0.206424	-0.819	0.0765	0.3645	0	111	349	3
2026-02-11	16:27:49.790	-7.525	13.72	24.78	0.934276	-0.23058	0.217648	-0.81	0.078	0.3675	0	111	349	3
2026-02-11	16:27:49.810	-8.26	13.16	22.155	0.913536	-0.23302	0.21594	-0.8175	0.09	0.3615	0	110	345	3
2026-02-11	16:27:49.830	-9.87	12.005	19.845	0.90768	-0.226188	0.211548	-0.819	0.09	0.363	0	110	345	3
2026-02-11	16:27:49.850	-11.935	9.38	17.045	0.915976	-0.223504	0.211792	-0.8115	0.105	0.366	0	110	345	3
2026-02-11	16:27:49.870	-12.425	6.51	14	0.935496	-0.232532	0.210328	-0.8115	0.096	0.3765	0	110	345	3
2026-02-11	16:27:49.890	-10.57	3.325	10.92	0.946964	-0.244	0.207156	-0.8085	0.09	0.369	0	110	345	3
2026-02-11	16:27:49.910	-5.985	-0.07	7.07	0.947696	-0.25254	0.221308	-0.81	0.0975	0.363	0	110	345	3
2026-02-11	16:27:49.930	-1.785	-2.485	3.115	0.945988	-0.23424	0.230824	-0.8115	0.105	0.3585	0	110	345	3
2026-02-11	16:27:49.950	-2.695	-3.36	-0.665	0.944036	-0.232288	0.238144	-0.8085	0.108	0.372	0	110	345	3
2026-02-11	16:27:49.970	-5.46	-3.64	-3.185	0.942816	-0.2318	0.247172	-0.81	0.105	0.3615	0	110	345	3
2026-02-11	16:27:49.990	-9.135	-3.5	-5.215	0.951356	-0.23302	0.250832	-0.8085	0.1065	0.357	0	110	345	3
2026-02-11	16:27:50.010	-12.495	-2.94	-6.79	0.951112	-0.240584	0.251808	-0.8115	0.105	0.366	0	109	327	2
2026-02-11	16:27:50.030	-14.14	-2.555	-8.12	0.955504	-0.255956	0.249612	-0.8115	0.1005	0.363	0	109	327	2
2026-02-11	16:27:50.050	-13.65	-2.24	-9.695	0.942084	-0.251076	0.252052	-0.813	0.1005	0.3645	0	109	327	2
2026-02-11	16:27:50.070	-13.58	-2.765	-12.215	0.947452	-0.269132	0.254492	-0.8115	0.0975	0.3555	0	109	327	2
2026-02-11	16:27:50.090	-12.075	-2.94	-14.07	0.9394	-0.26596	0.264252	-0.816	0.105	0.36	0	109	327	2
2026-02-11	16:27:50.110	-10.815	-3.29	-16.52	0.942084	-0.269864	0.269132	-0.819	0.0915	0.3615	0	109	327	2
2026-02-11	16:27:50.130	-8.68	-4.165	-18.305	0.938668	-0.281088	0.260592	-0.819	0.084	0.3585	0	109	327	2
2026-02-11	16:27:50.150	-6.86	-4.795	-20.09	0.943548	-0.278892	0.269132	-0.816	0.087	0.3615	0	109	327	2
2026-02-11	16:27:50.170	-5.565	-5.425	-21.28	0.945988	-0.291092	0.265472	-0.825	0.0765	0.3585	0	109	327	2
2026-02-11	16:27:50.190	-3.815	-5.215	-21.77	0.947208	-0.285724	0.266936	-0.8235	0.075	0.357	0	109	327	2
2026-02-11	16:27:50.210	-3.885	-4.305	-21.805	0.947208	-0.280356	0.2684	-0.8235	0.075	0.357	0	106	307	2
2026-02-11	16:27:50.230	-5.88	-3.43	-22.05	0.957456	-0.281088	0.268156	-0.831	0.0645	0.36	0	106	307	2
2026-02-11	16:27:50.250	-8.715	-2.415	-21.56	0.962336	-0.28548	0.262788	-0.825	0.06	0.3705	0	106	307	2
2026-02-11	16:27:50.270	-11.725	-1.61	-20.79	0.969656	-0.287188	0.256444	-0.8265	0.0525	0.366	0	106	307	2
2026-02-11	16:27:50.290	-13.755	-0.98	-19.67	0.969412	-0.292068	0.248636	-0.831	0.0615	0.3705	0	106	307	2
2026-02-11	16:27:50.310	-14.595	-0.91	-18.165	0.966728	-0.305244	0.245464	-0.825	0.0495	0.369	0	106	307	2
2026-02-11	16:27:50.330	-13.195	-1.47	-16.8	0.959164	-0.307928	0.243756	-0.8265	0.048	0.3675	0	106	307	2
2026-02-11	16:27:50.350	-10.325	-2.625	-15.26	0.955748	-0.313784	0.239608	-0.8355	0.0495	0.3735	0	106	307	2
2026-02-11	16:27:50.370	-6.3	-3.99	-13.86	0.952576	-0.314272	0.243024	-0.8265	0.0435	0.381	0	106	307	2
2026-02-11	16:27:50.390	-2.1	-5.355	-12.74	0.948916	-0.315736	0.245952	-0.834	0.039	0.381	0	106	307	2
2026-02-11	16:27:48.410	-57.75	18.095	-6.44	0.95526	-0.167384	0.301096	-0.8115	0.0615	0.33	0	168	300	2
2026-02-11	16:27:48.430	-62.65	18.34	-11.025	0.943304	-0.216916	0.268156	-0.8085	0.06	0.327	0	168	300	2
2026-02-11	16:27:48.450	-69.965	17.01	-14.945	0.956236	-0.222528	0.302072	-0.804	0.0615	0.318	0	168	300	2
2026-02-11	16:27:48.470	-79.485	15.75	-18.375	0.933788	-0.261324	0.3477	-0.804	0.0645	0.3165	0	168	300	2
2026-02-11	16:27:48.490	-82.6	10.92	-21.14	0.908656	-0.289872	0.343308	-0.8055	0.0645	0.321	0	168	300	2
2026-02-11	16:27:48.510	-72.38	4.27	-22.4	0.881816	-0.331596	0.365756	-0.8055	0.0645	0.321	0	168	300	2
2026-02-11	16:27:48.530	-60.2	-3.605	-23.345	0.874252	-0.335256	0.349896	-0.807	0.066	0.3105	0	168	300	2
2026-02-11	16:27:48.550	-49.385	-11.865	-24.92	0.864004	-0.295972	0.294752	-0.81	0.0735	0.306	0	168	300	2
2026-02-11	16:27:48.570	-36.68	-20.265	-24.745	0.858148	-0.31232	0.255712	-0.819	0.063	0.3015	0	168	300	2
2026-02-11	16:27:48.590	-15.68	-25.025	-23.625	0.882304	-0.35868	0.237168	-0.804	0.057	0.312	0	168	300	2
2026-02-11	16:27:48.610	8.26	-26.635	-21.245	0.914756	-0.384788	0.242048	-0.81	0.0555	0.3165	0	148	302	2
2026-02-11	16:27:48.630	30.625	-26.39	-19.005	0.932324	-0.318664	0.305488	-0.822	0.051	0.324	0	148	302	2
2026-02-11	16:27:48.650	35.105	-23.905	-17.255	0.934276	-0.302804	0.330132	-0.8145	0.0495	0.324	0	148	302	2
2026-02-11	16:27:48.670	28.56	-21.945	-16.625	0.938668	-0.279624	0.343552	-0.8235	0.036	0.336	0	148	302	2
2026-02-11	16:27:48.690	11.48	-20.86	-16.45	0.938424	-0.271816	0.325008	-0.819	0.036	0.3375	0	148	302	2
2026-02-11	16:27:48.710	-4.13	-19.285	-15.575	0.94916	-0.278404	0.334768	-0.819	0.0315	0.339	0	148	302	2
2026-02-11	16:27:48.730	-13.79	-16.52	-12.95	0.952576	-0.315492	0.354776	-0.8235	0.033	0.342	0	148	302	2
2026-02-11	16:27:48.750	-19.53	-13.44	-9.695	0.95282	-0.31842	0.369416	-0.8265	0.0285	0.3495	0	148	302	2
2026-02-11	16:27:48.770	-20.895	-9.905	-4.27	0.95526	-0.337696	0.36356	-0.8235	0.024	0.3525	0	148	302	2
2026-02-11	16:27:48.790	-15.295	-6.335	1.715	0.977952	-0.326716	0.370636	-0.822	0.027	0.351	0	148	302	2
2026-02-11	16:27:48.810	-6.93	-0.665	6.16	0.90036	-0.27816	0.315248	-0.828	0.0315	0.351	0	133	308	3
2026-02-11	16:27:48.830	3.85	-0.875	4.445	0.90402	-0.15738	0.423828	-0.822	0.0315	0.348	0	133	308	3
2026-02-11	16:27:48.850	7.42	0.63	1.995	0.926224	-0.149816	0.421388	-0.8205	0.03	0.345	0	133	308	3
2026-02-11	16:27:48.870	11.935	3.675	2.73	0.905972	-0.11468	0.382104	-0.8265	0.024	0.3465	0	133	308	3
2026-02-11	16:27:48.890	7.175	4.375	1.855	0.908168	-0.097356	0.379176	-0.8145	0.027	0.3495	0	133	308	3
2026-02-11	16:27:48.910	-4.62	5.39	0.455	0.91134	-0.121756	0.387716	-0.8175	0.0255	0.345	0	133	308	3
2026-02-11	16:27:48.930	-17.395	6.895	-0.665	0.924516	-0.13176	0.382348	-0.822	0.0165	0.333	0	133	308	3
2026-02-11	16:27:48.950	-26.18	7.385	-1.645	0.954772	-0.147376	0.358436	-0.8145	0.0255	0.333	0	133	308	3
2026-02-11	16:27:48.970	-31.115	6.895	-3.745	1.004304	-0.136884	0.349896	-0.8205	0.0225	0.336	0	133	308	3
2026-02-11	16:27:48.990	-36.54	6.37	-7.84	1.075796	-0.166896	0.355752	-0.8145	0.0195	0.3375	0	133	308	3
2026-02-11	16:27:49.010	-43.505	5.53	-13.055	1.116788	-0.179584	0.369172	-0.8145	0.0285	0.3315	0	122	319	3
2026-02-11	16:27:49.030	-52.185	5.74	-19.705	1.09312	-0.210816	0.37454	-0.8145	0.0255	0.33	0	122	319	3
2026-02-11	16:27:49.050	-57.575	5.565	-24.815	0.992592	-0.227408	0.376248	-0.8115	0.027	0.333	0	122	319	3
2026-02-11	16:27:49.070	-50.75	1.47	-24.185	0.842532	-0.25254	0.37088	-0.8085	0.0315	0.3375	0	122	319	3
2026-02-11	16:27:49.090	-36.33	-2.345	-21.28	0.774212	-0.298412	0.356728	-0.8085	0.0315	0.3375	0	122	319	3
2026-02-11	16:27:49.110	-13.93	-7.385	-14.21	0.751276	-0.305244	0.333792	-0.819	0.0315	0.324	0	122	319	3
2026-02-11	16:27:49.130	10.08	-12.425	-10.99	0.802028	-0.339892	0.327936	-0.81	0.033	0.327	0	122	319	3
2026-02-11	16:27:49.150	33.285	-15.575	-8.26	0.851804	-0.341356	0.334524	-0.813	0.0315	0.33	0	122	319	3
2026-02-11	16:27:49.170	48.895	-17.78	-5.705	0.908656	-0.330864	0.337696	-0.8205	0.033	0.3405	0	122	319	3
2026-02-11	16:27:49.190	55.685	-17.675	-4.48	0.940864	-0.30256	0.351848	-0.813	0.0225	0.3465	0	122	319	3
2026-02-11	16:27:49.210	51.17	-15.365	-3.395	0.963312	-0.284016	0.375272	-0.8115	0.024	0.3495	0	117	332	3
2026-02-11	16:27:49.230	39.76	-10.71	-1.19	0.96014	-0.271084	0.3843	-0.8175	0.012	0.3495	0	117	332	3
2026-02-11	16:27:49.250	27.23	-5.985	0.49	0.957212	-0.255956	0.381128	-0.822	0.0225	0.354	0	117	332	3
2026-02-11	16:27:49.270	15.68	-2.03	3.15	0.948184	-0.245464	0.398208	-0.8145	0.0105	0.3585	0	117	332	3
2026-02-11	16:27:49.290	8.68	0.175	8.26	0.935008	-0.258396	0.401868	-0.8145	0.0135	0.3645	0	117	332	3
2026-02-11	16:27:49.310	10.71	0.735	13.755	0.91622	-0.24522	0.401136	-0.816	0.0135	0.3555	0	117	332	3
2026-02-11	16:27:49.330	20.02	-0.77	18.34	0.91256	-0.242048	0.386008	-0.8205	0.0135	0.3495	0	117	332	3
2026-02-11	16:27:49.350	40.355	-3.43	22.155	0.897676	-0.183488	0.366732	-0.822	0.015	0.351	0	117	332	3
2026-02-11	16:27:49.370	48.055	-4.165	21.945	0.887428	-0.159332	0.353312	-0.822	0.015	0.351	0	117	332	3
2026-02-11	16:27:49.390	49.21	-4.025	19.46	0.889868	-0.158844	0.344528	-0.8175	0.0225	0.3555	0	117	332	3
2026-02-11	16:27:49.410	45.71	-3.78	16.065	0.887672	-0.161284	0.332328	-0.8235	0.0165	0.366	0	114	343	3
2026-02-11	16:27:49.430	40.775	-4.795	13.545	0.887916	-0.170556	0.313784	-0.819	0.0225	0.3615	0	114	343	3
2026-02-11	16:27:49.450	35.98	-6.475	11.095	0.88206	-0.179828	0.29768	-0.8265	0.021	0.3645	0	114	343	3
2026-02-11	16:27:49.470	31.955	-8.085	9.065	0.887184	-0.178608	0.297192	-0.825	0.0195	0.363	0	114	343	3
2026-02-11	16:27:49.490	28.14	-10.29	8.225	0.92964	-0.195444	0.306464	-0.8205	0.0225	0.3675	0	114	343	3
2026-02-11	16:27:49.510	27.58	-12.215	8.05	0.976732	-0.203008	0.320128	-0.8235	0.024	0.363	0	114	343	3
2026-02-11	16:27:49.530	31.115	-13.755	8.54	1.037244	-0.209108	0.347944	-0.8205	0.021	0.363	0	114	343	3
2026-02-11	16:27:49.550	38.605	-15.26	10.115	1.09922	-0.195444	0.37698	-0.825	0.0285	0.3675	0	114	343	3
2026-02-11	16:27:49.570	45.185	-15.785	11.48	1.128256	-0.15738	0.386984	-0.8325	0.0255	0.3705	0	114	343	3
2026-02-11	16:27:49.590	47.985	-11.9	9.415	1.05896	-0.166164	0.3843	-0.831	0.0225	0.3705	0	114	343	3
2026-02-11	16:27:49.610	44.73	-7.63	9.205	0.963068	-0.132736	0.369172	-0.8325	0.0255	0.366	0	111	349	3
2026-02-11	16:27:49.630	29.855	-3.185	12.635	0.884744	-0.130784	0.348676	-0.8295	0.03	0.363	0	111	349	3
2026-02-11	16:27:49.650	12.25	0.175	18.165	0.894016	-0.135908	0.328668	-0.8265	0.03	0.3645	0	111	349	3
2026-02-11	16:27:49.670	-5.74	2.975	21.63	0.913048	-0.187636	0.305244	-0.819	0.039	0.363	0	111	349	3
2026-02-11	16:27:49.690	-18.55	5.6	25.55	0.951112	-0.255712	0.266204	-0.819	0.0405	0.372	0	111	349	3
2026-02-11	16:27:49.710	-21.21	7.805	28.84	0.974048	-0.239852	0.235704	-0.825	0.0615	0.3585	0	111	349	3
2026-02-11	16:27:49.730	-21.385	9.415	28.42	1.005036	-0.264496	0.211792	-0.813	0.06	0.357	0	111	349	3
2026-02-11	16:27:49.750	-16.8	11.725	27.475	0.989664	-0.269132	0.200324	-0.816	0.072	0.369	0	111	349	3
2026-02-11	16:27:49.770	-10.535	12.845	26.355	0.971852	-0.257664	0.206424	-0.819	0.0765	0.3645	0	111	349	3
2026-02-11	16:27:49.790	-7.525	13.72	24.78	0.934276	-0.23058	0.217648	-0.81	0.078	0.3675	0	111	349	3
2026-02-11	16:27:49.810	-8.26	13.16	22.155	0.913536	-0.23302	0.21594	-0.8175	0.09	0.3615	0	110	345	3
2026-02-11	16:27:49.830	-9.87	12.005	19.845	0.90768	-0.226188	0.211548	-0.819	0.09	0.363	0	110	345	3
2026-02-11	16:27:49.850	-11.935	9.38	17.045	0.915976	-0.223504	0.211792	-0.8115	0.105	0.366	0	110	345	3
2026-02-11	16:27:49.870	-12.425	6.51	14	0.935496	-0.232532	0.210328	-0.8115	0.096	0.3765	0	110	345	3
2026-02-11	16:27:49.890	-10.57	3.325	10.92	0.946964	-0.244	0.207156	-0.8085	0.09	0.369	0	110	345	3
2026-02-11	16:27:49.910	-5.985	-0.07	7.07	0.947696	-0.25254	0.221308	-0.81	0.0975	0.363	0	110	345	3
2026-02-11	16:27:49.930	-1.785	-2.485	3.115	0.945988	-0.23424	0.230824	-0.8115	0.105	0.3585	0	110	345	3
2026-02-11	16:27:49.950	-2.695	-3.36	-0.665	0.944036	-0.232288	0.238144	-0.8085	0.108	0.372	0	110	345	3
2026-02-11	16:27:49.970	-5.46	-3.64	-3.185	0.942816	-0.2318	0.247172	-0.81	0.105	0.3615	0	110	345	3
2026-02-11	16:27:49.990	-9.135	-3.5	-5.215	0.951356	-0.23302	0.250832	-0.8085	0.1065	0.357	0	110	345	3
2026-02-11	16:27:50.010	-12.495	-2.94	-6.79	0.951112	-0.240584	0.251808	-0.8115	0.105	0.366	0	109	327	2
2026-02-11	16:27:50.030	-14.14	-2.555	-8.12	0.955504	-0.255956	0.249612	-0.8115	0.1005	0.363	0	109	327	2
2026-02-11	16:27:50.050	-13.65	-2.24	-9.695	0.942084	-0.251076	0.252052	-0.813	0.1005	0.3645	0	109	327	2
2026-02-11	16:27:50.070	-13.58	-2.765	-12.215	0.947452	-0.269132	0.254492	-0.8115	0.0975	0.3555	0	109	327	2
2026-02-11	16:27:50.090	-12.075	-2.94	-14.07	0.9394	-0.26596	0.264252	-0.816	0.105	0.36	0	109	327	2
2026-02-11	16:27:50.110	-10.815	-3.29	-16.52	0.942084	-0.269864	0.269132	-0.819	0.0915	0.3615	0	109	327	2
2026-02-11	16:27:50.130	-8.68	-4.165	-18.305	0.938668	-0.281088	0.260592	-0.819	0.084	0.3585	0	109	327	2
2026-02-11	16:27:50.150	-6.86	-4.795	-20.09	0.943548	-0.278892	0.269132	-0.816	0.087	0.3615	0	109	327	2
2026-02-11	16:27:50.170	-5.565	-5.425	-21.28	0.945988	-0.291092	0.265472	-0.825	0.0765	0.3585	0	109	327	2
2026-02-11	16:27:50.190	-3.815	-5.215	-21.77	0.947208	-0.285724	0.266936	-0.8235	0.075	0.357	0	109	327	2
2026-02-11	16:27:50.210	-3.885	-4.305	-21.805	0.947208	-0.280356	0.2684	-0.8235	0.075	0.357	0	106	307	2
2026-02-11	16:27:50.230	-5.88	-3.43	-22.05	0.957456	-0.281088	0.268156	-0.831	0.0645	0.36	0	106	307	2
2026-02-11	16:27:50.250	-8.715	-2.415	-21.56	0.962336	-0.28548	0.262788	-0.825	0.06	0.3705	0	106	307	2
2026-02-11	16:27:50.270	-11.725	-1.61	-20.79	0.969656	-0.287188	0.256444	-0.8265	0.0525	0.366	0	106	307	2
2026-02-11	16:27:50.290	-13.755	-0.98	-19.67	0.969412	-0.292068	0.248636	-0.831	0.0615	0.3705	0	106	307	2
2026-02-11	16:27:50.310	-14.595	-0.91	-18.165	0.966728	-0.305244	0.245464	-0.825	0.0495	0.369	0	106	307	2
2026-02-11	16:27:50.330	-13.195	-1.47	-16.8	0.959164	-0.307928	0.243756	-0.8265	0.048	0.3675	0	106	307	2
2026-02-11	16:27:50.350	-10.325	-2.625	-15.26	0.955748	-0.313784	0.239608	-0.8355	0.0495	0.3735	0	106	307	2
2026-02-11	16:27:50.370	-6.3	-3.99	-13.86	0.952576	-0.314272	0.243024	-0.8265	0.0435	0.381	0	106	307	2
2026-02-11	16:27:50.390	-2.1	-5.355	-12.74	0.948916	-0.315736	0.245952	-0.834	0.039	0.381	0	106	307	2
2026-02-11	16:27:48.410	-57.75	18.095	-6.44	0.95526	-0.167384	0.301096	-0.8115	0.0615	0.33	0	168	300	2
2026-02-11	16:27:48.430	-62.65	18.34	-11.025	0.943304	-0.216916	0.268156	-0.8085	0.06	0.327	0	168	300	2
2026-02-11	16:27:48.450	-69.965	17.01	-14.945	0.956236	-0.222528	0.302072	-0.804	0.0615	0.318	0	168	300	2
2026-02-11	16:27:48.470	-79.485	15.75	-18.375	0.933788	-0.261324	0.3477	-0.804	0.0645	0.3165	0	168	300	2
2026-02-11	16:27:48.490	-82.6	10.92	-21.14	0.908656	-0.289872	0.343308	-0.8055	0.0645	0.321	0	168	300	2
2026-02-11	16:27:48.510	-72.38	4.27	-22.4	0.881816	-0.331596	0.365756	-0.8055	0.0645	0.321	0	168	300	2
2026-02-11	16:27:48.530	-60.2	-3.605	-23.345	0.874252	-0.335256	0.349896	-0.807	0.066	0.3105	0	168	300	2
2026-02-11	16:27:48.550	-49.385	-11.865	-24.92	0.864004	-0.295972	0.294752	-0.81	0.0735	0.306	0	168	300	2
2026-02-11	16:27:48.570	-36.68	-20.265	-24.745	0.858148	-0.31232	0.255712	-0.819	0.063	0.3015	0	168	300	2
2026-02-11	16:27:48.590	-15.68	-25.025	-23.625	0.882304	-0.35868	0.237168	-0.804	0.057	0.312	0	168	300	2
2026-02-11	16:27:48.610	8.26	-26.635	-21.245	0.914756	-0.384788	0.242048	-0.81	0.0555	0.3165	0	148	302	2
2026-02-11	16:27:48.630	30.625	-26.39	-19.005	0.932324	-0.318664	0.305488	-0.822	0.051	0.324	0	148	302	2
2026-02-11	16:27:48.650	35.105	-23.905	-17.255	0.934276	-0.302804	0.330132	-0.8145	0.0495	0.324	0	148	302	2
2026-02-11	16:27:48.670	28.56	-21.945	-16.625	0.938668	-0.279624	0.343552	-0.8235	0.036	0.336	0	148	302	2
2026-02-11	16:27:48.690	11.48	-20.86	-16.45	0.938424	-0.271816	0.325008	-0.819	0.036	0.3375	0	148	302	2
2026-02-11	16:27:48.710	-4.13	-19.285	-15.575	0.94916	-0.278404	0.334768	-0.819	0.0315	0.339	0	148	302	2
2026-02-11	16:27:48.730	-13.79	-16.52	-12.95	0.952576	-0.315492	0.354776	-0.8235	0.033	0.342	0	148	302	2
2026-02-11	16:27:48.750	-19.53	-13.44	-9.695	0.95282	-0.31842	0.369416	-0.8265	0.0285	0.3495	0	148	302	2
2026-02-11	16:27:48.770	-20.895	-9.905	-4.27	0.95526	-0.337696	0.36356	-0.8235	0.024	0.3525	0	148	302	2
2026-02-11	16:27:48.790	-15.295	-6.335	1.715	0.977952	-0.326716	0.370636	-0.822	0.027	0.351	0	148	302	2
2026-02-11	16:27:48.810	-6.93	-0.665	6.16	0.90036	-0.27816	0.315248	-0.828	0.0315	0.351	0	133	308	3
2026-02-11	16:27:48.830	3.85	-0.875	4.445	0.90402	-0.15738	0.423828	-0.822	0.0315	0.348	0	133	308	3
2026-02-11	16:27:48.850	7.42	0.63	1.995	0.926224	-0.149816	0.421388	-0.8205	0.03	0.345	0	133	308	3
2026-02-11	16:27:48.870	11.935	3.675	2.73	0.905972	-0.11468	0.382104	-0.8265	0.024	0.3465	0	133	308	3
2026-02-11	16:27:48.890	7.175	4.375	1.855	0.908168	-0.097356	0.379176	-0.8145	0.027	0.3495	0	133	308	3
2026-02-11	16:27:48.910	-4.62	5.39	0.455	0.91134	-0.121756	0.387716	-0.8175	0.0255	0.345	0	133	308	3
2026-02-11	16:27:48.930	-17.395	6.895	-0.665	0.924516	-0.13176	0.382348	-0.822	0.0165	0.333	0	133	308	3
2026-02-11	16:27:48.950	-26.18	7.385	-1.645	0.954772	-0.147376	0.358436	-0.8145	0.0255	0.333	0	133	308	3
2026-02-11	16:27:48.970	-31.115	6.895	-3.745	1.004304	-0.136884	0.349896	-0.8205	0.0225	0.336	0	133	308	3
2026-02-11	16:27:48.990	-36.54	6.37	-7.84	1.075796	-0.166896	0.355752	-0.8145	0.0195	0.3375	0	133	308	3
2026-02-11	16:27:49.010	-43.505	5.53	-13.055	1.116788	-0.179584	0.369172	-0.8145	0.0285	0.3315	0	122	319	3
2026-02-11	16:27:49.030	-52.185	5.74	-19.705	1.09312	-0.210816	0.37454	-0.8145	0.0255	0.33	0	122	319	3
2026-02-11	16:27:49.050	-57.575	5.565	-24.815	0.992592	-0.227408	0.376248	-0.8115	0.027	0.333	0	122	319	3
2026-02-11	16:27:49.070	-50.75	1.47	-24.185	0.842532	-0.25254	0.37088	-0.8085	0.0315	0.3375	0	122	319	3
2026-02-11	16:27:49.090	-36.33	-2.345	-21.28	0.774212	-0.298412	0.356728	-0.8085	0.0315	0.3375	0	122	319	3
2026-02-11	16:27:49.110	-13.93	-7.385	-14.21	0.751276	-0.305244	0.333792	-0.819	0.0315	0.324	0	122	319	3
2026-02-11	16:27:49.130	10.08	-12.425	-10.99	0.802028	-0.339892	0.327936	-0.81	0.033	0.327	0	122	319	3
2026-02-11	16:27:49.150	33.285	-15.575	-8.26	0.851804	-0.341356	0.334524	-0.813	0.0315	0.33	0	122	319	3
2026-02-11	16:27:49.170	48.895	-17.78	-5.705	0.908656	-0.330864	0.337696	-0.8205	0.033	0.3405	0	122	319	3
2026-02-11	16:27:49.190	55.685	-17.675	-4.48	0.940864	-0.30256	0.351848	-0.813	0.0225	0.3465	0	122	319	3
2026-02-11	16:27:49.210	51.17	-15.365	-3.395	0.963312	-0.284016	0.375272	-0.8115	0.024	0.3495	0	117	332	3
2026-02-11	16:27:49.230	39.76	-10.71	-1.19	0.96014	-0.271084	0.3843	-0.8175	0.012	0.3495	0	117	332	3
2026-02-11	16:27:49.250	27.23	-5.985	0.49	0.957212	-0.255956	0.381128	-0.822	0.0225	0.354	0	117	332	3
2026-02-11	16:27:49.270	15.68	-2.03	3.15	0.948184	-0.245464	0.398208	-0.8145	0.0105	0.3585	0	117	332	3
2026-02-11	16:27:49.290	8.68	0.175	8.26	0.935008	-0.258396	0.401868	-0.8145	0.0135	0.3645	0	117	332	3
2026-02-11	16:27:49.310	10.71	0.735	13.755	0.91622	-0.24522	0.401136	-0.816	0.0135	0.3555	0	117	332	3
2026-02-11	16:27:49.330	20.02	-0.77	18.34	0.91256	-0.242048	0.386008	-0.8205	0.0135	0.3495	0	117	332	3
2026-02-11	16:27:49.350	40.355	-3.43	22.155	0.897676	-0.183488	0.366732	-0.822	0.015	0.351	0	117	332	3
2026-02-11	16:27:49.370	48.055	-4.165	21.945	0.887428	-0.159332	0.353312	-0.822	0.015	0.351	0	117	332	3
2026-02-11	16:27:49.390	49.21	-4.025	19.46	0.889868	-0.158844	0.344528	-0.8175	0.0225	0.3555	0	117	332	3
2026-02-11	16:27:49.410	45.71	-3.78	16.065	0.887672	-0.161284	0.332328	-0.8235	0.0165	0.366	0	114	343	3
2026-02-11	16:27:49.430	40.775	-4.795	13.545	0.887916	-0.170556	0.313784	-0.819	0.0225	0.3615	0	114	343	3
2026-02-11	16:27:49.450	35.98	-6.475	11.095	0.88206	-0.179828	0.29768	-0.8265	0.021	0.3645	0	114	343	3
2026-02-11	16:27:49.470	31.955	-8.085	9.065	0.887184	-0.178608	0.297192	-0.825	0.0195	0.363	0	114	343	3
2026-02-11	16:27:49.490	28.14	-10.29	8.225	0.92964	-0.195444	0.306464	-0.8205	0.0225	0.3675	0	114	343	3
2026-02-11	16:27:49.510	27.58	-12.215	8.05	0.976732	-0.203008	0.320128	-0.8235	0.024	0.363	0	114	343	3
2026-02-11	16:27:49.530	31.115	-13.755	8.54	1.037244	-0.209108	0.347944	-0.8205	0.021	0.363	0	114	343	3
2026-02-11	16:27:49.550	38.605	-15.26	10.115	1.09922	-0.195444	0.37698	-0.825	0.0285	0.3675	0	114	343	3
2026-02-11	16:27:49.570	45.185	-15.785	11.48	1.128256	-0.15738	0.386984	-0.8325	0.0255	0.3705	0	114	343	3
2026-02-11	16:27:49.590	47.985	-11.9	9.415	1.05896	-0.166164	0.3843	-0.831	0.0225	0.3705	0	114	343	3
2026-02-11	16:27:59.610	3.535	-0.7	1.015	0.937448	-0.261324	0.303536	-0.816	0.054	0.3315	0	311	290	2
2026-02-11	16:27:59.630	4.725	-1.155	1.12	0.939156	-0.255468	0.300608	-0.8205	0.0585	0.3375	0	311	290	2
2026-02-11	16:27:59.650	5.88	-1.575	1.12	0.933056	-0.252296	0.307928	-0.8355	0.0585	0.3345	0	311	290	2
2026-02-11	16:27:59.670	7	-1.995	1.26	0.932812	-0.255712	0.310368	-0.822	0.0555	0.3345	0	311	290	2
2026-02-11	16:27:59.690	7.665	-2.17	1.4	0.937204	-0.24766	0.308904	-0.825	0.0585	0.339	0	311	290	2
2026-02-11	16:27:59.710	7.665	-2.31	1.435	0.938912	-0.245708	0.305	-0.8175	0.0615	0.3345	0	311	290	2
