yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:50:35.610	-39.9	7.455	68.215	0.165188	1.3542	0.335256	-0.207	0.1215	0.219	0	706	115	3
2026-02-19	12:50:35.630	-24.08	11.48	52.885	0.234972	1.19682	0.308904	-0.2145	0.12	0.213	0	706	115	3
2026-02-19	12:50:35.650	-15.785	20.125	44.45	0.185196	1.281	0.286456	-0.2205	0.123	0.2085	0	706	115	3
2026-02-19	12:50:35.670	-21.91	13.51	38.15	0.154696	1.197796	0.177388	-0.2175	0.1305	0.213	0	706	115	3
2026-02-19	12:50:35.690	-59.605	6.79	22.995	0.210328	1.283196	0.25864	-0.222	0.1335	0.207	0	706	115	3
2026-02-19	12:50:35.710	-81.97	4.55	13.755	0.22082	1.036268	0.439688	-0.222	0.1335	0.207	0	706	115	3
2026-02-19	12:50:35.730	-91.595	7	13.02	0.156404	0.982832	0.46238	-0.225	0.141	0.1965	0	706	115	3
2026-02-19	12:50:35.750	-106.33	6.44	14	0.077836	0.883768	0.40748	-0.225	0.153	0.18	0	706	115	3
2026-02-19	12:50:35.770	-98.77	-3.22	15.225	0.057584	0.67222	0.298412	-0.225	0.165	0.168	0	706	115	3
2026-02-19	12:50:35.790	-34.09	-12.81	12.18	0.120536	0.622688	0.2928	-0.225	0.1725	0.162	0	706	115	3
2026-02-19	12:50:35.810	19.075	-13.895	10.43	0.158356	0.979416	0.360144	-0.2265	0.174	0.162	0	689	125	3
2026-02-19	12:50:35.830	20.86	-13.405	8.365	0.179096	1.08214	0.447496	-0.231	0.1725	0.1635	0	689	125	3
2026-02-19	12:50:35.850	-6.86	-11.2	6.825	0.20374	1.106052	0.493612	-0.234	0.177	0.165	0	689	125	3
2026-02-19	12:50:35.870	-23.695	-7.595	-1.4	0.196908	1.059204	0.464088	-0.2325	0.177	0.165	0	689	125	3
2026-02-19	12:50:35.890	-19.285	-3.5	-13.405	0.203252	1.107516	0.421388	-0.234	0.18	0.1515	0	689	125	3
2026-02-19	12:50:35.910	-5.635	0.56	-24.29	0.172264	1.057008	0.383324	-0.2325	0.1845	0.1605	0	689	125	3
2026-02-19	12:50:35.930	12.04	-0.42	-30.345	0.163724	0.9882	0.322324	-0.24	0.183	0.159	0	689	125	3
2026-02-19	12:50:35.950	32.9	-1.575	-37.87	0.183732	0.906216	0.230336	-0.231	0.1815	0.1515	0	689	125	3
2026-02-19	12:50:35.970	53.76	-5.495	-38.465	0.143228	0.69052	0.167872	-0.228	0.183	0.1635	0	689	125	3
2026-02-19	12:50:35.990	81.725	-3.36	-34.965	0.029768	0.66734	0.199836	-0.2325	0.177	0.1665	0	689	125	3
2026-02-19	12:50:36.010	127.855	0.98	-30.1	0.079788	0.723704	0.221308	-0.228	0.162	0.174	0	662	165	3
2026-02-19	12:50:36.030	108.57	5.915	-17.045	0.051484	0.988688	0.212524	-0.222	0.1455	0.1875	0	662	165	3
2026-02-19	12:50:36.050	30.38	9.38	-1.05	0.083936	0.989908	0.260836	-0.216	0.138	0.2055	0	662	165	3
2026-02-19	12:50:36.070	-44.31	10.815	14	0.133468	0.966484	0.272548	-0.213	0.1335	0.207	0	662	165	3
2026-02-19	12:50:36.090	-82.25	11.725	17.5	0.202764	0.996252	0.248392	-0.2145	0.1395	0.1995	0	662	165	3
2026-02-19	12:50:36.110	-80.92	10.115	12.005	0.236436	1.005524	0.292068	-0.216	0.147	0.195	0	662	165	3
2026-02-19	12:50:36.130	-59.185	11.655	7.945	0.239852	0.984784	0.367464	-0.219	0.1515	0.1875	0	662	165	3
2026-02-19	12:50:36.150	-37.205	13.475	8.26	0.275964	0.968192	0.446032	-0.2025	0.165	0.1875	0	662	165	3
2026-02-19	12:50:36.170	-30.555	17.815	8.575	0.335012	0.886452	0.526064	-0.2145	0.159	0.18	0	662	165	3
2026-02-19	12:50:36.190	-35.14	28.63	9.1	0.329644	1.066524	0.5002	-0.216	0.1575	0.174	0	662	165	3
2026-02-19	12:50:36.210	-45.99	29.505	4.76	0.258884	0.986004	0.442372	-0.2115	0.165	0.1755	0	626	208	3
2026-02-19	12:50:36.230	-37.52	20.265	4.165	0.186904	0.824232	0.339892	-0.2025	0.174	0.174	0	626	208	3
2026-02-19	12:50:36.250	-28.665	19.25	4.34	0.105408	0.86376	0.306464	-0.2025	0.18	0.1695	0	626	208	3
2026-02-19	12:50:36.270	-56.42	20.65	8.925	0.060268	0.847412	0.345748	-0.201	0.1815	0.1665	0	626	208	3
2026-02-19	12:50:36.290	-100.415	9.87	23.975	0.012932	0.562664	0.336232	-0.1965	0.1845	0.1605	0	626	208	3
2026-02-19	12:50:36.310	-106.435	1.4	44.73	0.060268	0.411384	0.37576	-0.1995	0.1935	0.1545	0	626	208	3
2026-02-19	12:50:36.330	-117.39	17.57	99.995	-0.5124	0.090036	0.654408	-0.2025	0.2055	0.147	0	626	208	3
2026-02-19	12:50:36.350	-150.815	-4.375	98.91	0.06734399	0.776652	0.049288	-0.2055	0.2175	0.1425	0	626	208	3
2026-02-19	12:50:36.370	-186.235	-70.91	117.915	-0.276452	0.128832	0.287432	-0.2055	0.2175	0.1425	0	626	208	3
2026-02-19	12:50:36.390	-207.55	-44.765	116.725	-0.233508	1.19682	2.32654	-0.234	0.27	0.099	0	626	208	3
2026-02-19	12:50:36.410	-140.7	-14.945	116.69	0.805688	0.949648	-0.412604	-0.2415	0.2955	0.093	0	589	257	3
2026-02-19	12:50:36.430	-84.14	-93.94	153.23	0.639036	-0.105896	0.605364	-0.2535	0.3075	0.0885	0	589	257	3
2026-02-19	12:50:36.450	66.22	-21.42	113.295	0.39284	1.853668	0.963312	-0.2655	0.3225	0.0855	0	589	257	3
2026-02-19	12:50:36.470	-48.72	-40.635	49.875	0.560712	1.476688	0.8662	-0.2775	0.3195	0.0825	0	589	257	3
2026-02-19	12:50:36.490	-117.74	-46.165	-8.54	0.412116	0.60024	0.818864	-0.2895	0.321	0.0765	0	589	257	3
2026-02-19	12:50:36.510	-109.55	-40.565	-37.485	0.454328	0.544852	0.744688	-0.297	0.3345	0.0705	0	589	257	3
2026-02-19	12:50:36.530	-102.235	-41.615	-26.95	0.47092	0.41236	0.549488	-0.3045	0.342	0.0705	0	589	257	3
2026-02-19	12:50:36.550	-82.74	-55.965	-9.905	0.536068	0.275476	0.548512	-0.306	0.3735	0.069	0	589	257	3
2026-02-19	12:50:36.570	-29.61	-80.22	4.865	0.646112	0.337208	0.60024	-0.318	0.3885	0.066	0	589	257	3
2026-02-19	12:50:36.590	10.675	-86.73	9.03	0.67588	0.44286	0.6954	-0.33	0.3975	0.069	0	589	257	3
2026-02-19	12:50:34.610	-40.81	10.08	137.62	-0.650992	1.846104	-0.056852	0	0.243	0.243	0	648	122	3
2026-02-19	12:50:34.630	-3.815	-15.19	98.63	-0.43798	1.658956	0.00854	-0.006	0.2265	0.2415	0	648	122	3
2026-02-19	12:50:34.650	87.815	-8.61	20.44	-0.461404	2.369728	0.059536	-0.018	0.222	0.237	0	648	122	3
2026-02-19	12:50:34.670	126.735	-10.29	-41.475	-0.693448	1.940776	0.115656	-0.027	0.2175	0.2445	0	648	122	3
2026-02-19	12:50:34.690	67.2	-16.17	-82.635	-0.577548	1.697264	0.187636	-0.0195	0.2055	0.2535	0	648	122	3
2026-02-19	12:50:34.710	-10.745	-12.81	-110.11	-0.490684	1.192916	0.32452	-0.018	0.2055	0.2595	0	648	122	3
2026-02-19	12:50:34.730	-108.605	-4.69	-108.115	-0.424072	0.499712	0.24766	-0.0075	0.2115	0.2595	0	648	122	3
2026-02-19	12:50:34.750	-94.71	4.27	-97.93	-0.419924	0.097844	0.1708	0	0.2265	0.252	0	648	122	3
2026-02-19	12:50:34.770	-64.33	10.71	-75.39	-0.468968	0.08052	0.082228	0.012	0.252	0.246	0	648	122	3
2026-02-19	12:50:34.790	-36.26	7.385	-41.93	-0.53314	-0.082716	0.13664	0.0195	0.264	0.24	0	648	122	3
2026-02-19	12:50:34.810	-3.045	5.215	-5.39	-0.557296	-0.064172	0.204716	0.0255	0.27	0.2325	0	671	142	3
2026-02-19	12:50:34.830	20.195	4.165	34.055	-0.454572	-0.03782	0.31354	0.0285	0.2655	0.2385	0	671	142	3
2026-02-19	12:50:34.850	1.68	10.535	76.16	-0.490196	-0.016592	0.397476	0.0225	0.2625	0.246	0	671	142	3
2026-02-19	12:50:34.870	-33.285	13.475	114.31	-0.452376	0.260592	0.276452	0.0195	0.264	0.246	0	671	142	3
2026-02-19	12:50:34.890	-19.74	10.115	129.01	-0.47336	0.949648	0.04026	0.015	0.2565	0.237	0	671	142	3
2026-02-19	12:50:34.910	15.4	10.255	124.11	-0.733952	1.33834	0.074176	0.0015	0.246	0.237	0	671	142	3
2026-02-19	12:50:34.930	35.175	-7.525	117.915	-0.660752	1.238056	-0.0549	-0.003	0.2355	0.246	0	671	142	3
2026-02-19	12:50:34.950	105.595	-9.205	81.2	-0.397476	1.441552	0.118828	-0.0105	0.2265	0.246	0	671	142	3
2026-02-19	12:50:34.970	106.715	1.855	31.955	-0.347944	2.077416	0.10004	-0.024	0.216	0.2415	0	671	142	3
2026-02-19	12:50:34.990	104.755	0.49	-32.62	-0.352336	2.041304	-0.038796	-0.0345	0.198	0.255	0	671	142	3
2026-02-19	12:50:35.010	59.15	2.485	-75.18	-0.539484	1.708976	-0.036844	-0.0255	0.195	0.2745	0	692	152	3
2026-02-19	12:50:35.030	-33.6	-3.15	-99.505	-0.54778	1.298568	0.058316	-0.015	0.1905	0.267	0	692	152	3
2026-02-19	12:50:35.050	-102.725	-14.49	-106.365	-0.499224	0.642208	-0.000488	-0.018	0.1965	0.285	0	692	152	3
2026-02-19	12:50:35.070	-26.18	-27.825	-111.3	-0.43188	0.18422	-0.01952	-0.018	0.1965	0.285	0	692	152	3
2026-02-19	12:50:35.090	62.3	-28.455	-95.865	-0.532164	0.105408	0.020008	-0.0045	0.216	0.2685	0	692	152	3
2026-02-19	12:50:35.110	115.185	-32.06	-73.43	-0.559248	0.112484	0.049776	0.0135	0.234	0.2565	0	692	152	3
2026-02-19	12:50:35.130	147.805	-32.795	-46.795	-0.549244	0.281332	0.18422	0.018	0.234	0.264	0	692	152	3
2026-02-19	12:50:35.150	116.235	-25.445	-10.535	-0.465796	0.3721	0.537776	0.0165	0.228	0.276	0	692	152	3
2026-02-19	12:50:35.170	30.065	-4.445	35.595	-0.44896	0.169824	0.589992	0.018	0.2175	0.2865	0	692	152	3
2026-02-19	12:50:35.190	-32.13	16.73	77.63	-0.52216	0.097112	0.339648	0.0165	0.2115	0.2835	0	692	152	3
2026-02-19	12:50:35.210	-12.46	26.005	109.445	-0.467992	0.216428	0.05978	0.0045	0.207	0.2775	0	707	147	3
2026-02-19	12:50:35.230	48.755	35.77	128.38	-0.540948	0.541192	-0.081984	0	0.2025	0.2745	0	707	147	3
2026-02-19	12:50:35.250	76.23	36.505	152.18	-0.501176	0.671	-0.061976	0	0.1845	0.282	0	707	147	3
2026-02-19	12:50:35.270	84.385	24.22	162.61	-0.27328	1.02358	-0.152988	0	0.1845	0.282	0	707	147	3
2026-02-19	12:50:35.290	142.695	25.06	121.38	-0.109312	1.747284	-0.172508	-0.036	0.159	0.2985	0	707	147	3
2026-02-19	12:50:35.310	86.415	33.67	102.76	-0.1037	1.39812	-0.141032	-0.048	0.1365	0.321	0	707	147	3
2026-02-19	12:50:35.330	-24.99	38.78	98.63	-0.065148	1.2261	0.003904	-0.06	0.1305	0.321	0	707	147	3
2026-02-19	12:50:35.350	-110.005	48.965	83.09	-0.38918	1.034804	0.027572	-0.072	0.1185	0.3255	0	707	147	3
2026-02-19	12:50:35.370	-114.485	40.775	73.29	-0.447252	0.890112	-0.006344	-0.0825	0.1155	0.3285	0	707	147	3
2026-02-19	12:50:35.390	-104.72	29.05	83.02	-0.34404	0.838628	0.022692	-0.0825	0.1155	0.3285	0	707	147	3
2026-02-19	12:50:35.410	-78.68	21.245	96.67	-0.256444	0.585356	0.122976	-0.087	0.1155	0.312	0	713	133	3
2026-02-19	12:50:35.430	-60.655	22.47	114.695	-0.228384	0.559004	0.105408	-0.1005	0.1185	0.288	0	713	133	3
2026-02-19	12:50:35.450	-18.97	16.73	116.025	-0.082228	0.968924	0.057828	-0.1155	0.12	0.273	0	713	133	3
2026-02-19	12:50:35.470	27.51	17.99	103.425	0.006344	1.03822	0.127124	-0.126	0.1155	0.2685	0	713	133	3
2026-02-19	12:50:35.490	-11.095	23.31	117.285	-0.016348	0.946232	0.088328	-0.138	0.108	0.2745	0	713	133	3
2026-02-19	12:50:35.510	-77.56	20.475	125.02	0.036112	1.20902	-0.05368	-0.153	0.102	0.273	0	713	133	3
2026-02-19	12:50:35.530	-112.21	11.375	108.815	0.103944	1.304912	-0.02928	-0.1605	0.1005	0.27	0	713	133	3
2026-02-19	12:50:35.550	-109.83	3.395	93.87	0.111508	1.069208	0.10614	-0.177	0.114	0.261	0	713	133	3
2026-02-19	12:50:35.570	-88.27	0.42	88.55	0.10492	1.06994	0.178608	-0.1875	0.117	0.2415	0	713	133	3
2026-02-19	12:50:35.590	-50.715	3.815	78.295	0.093452	1.093608	0.256444	-0.195	0.126	0.2325	0	713	133	3
2026-02-19	12:50:35.610	-39.9	7.455	68.215	0.165188	1.3542	0.335256	-0.207	0.1215	0.219	0	706	115	3
2026-02-19	12:50:35.630	-24.08	11.48	52.885	0.234972	1.19682	0.308904	-0.2145	0.12	0.213	0	706	115	3
2026-02-19	12:50:35.650	-15.785	20.125	44.45	0.185196	1.281	0.286456	-0.2205	0.123	0.2085	0	706	115	3
2026-02-19	12:50:35.670	-21.91	13.51	38.15	0.154696	1.197796	0.177388	-0.2175	0.1305	0.213	0	706	115	3
2026-02-19	12:50:35.690	-59.605	6.79	22.995	0.210328	1.283196	0.25864	-0.222	0.1335	0.207	0	706	115	3
2026-02-19	12:50:35.710	-81.97	4.55	13.755	0.22082	1.036268	0.439688	-0.222	0.1335	0.207	0	706	115	3
2026-02-19	12:50:35.730	-91.595	7	13.02	0.156404	0.982832	0.46238	-0.225	0.141	0.1965	0	706	115	3
2026-02-19	12:50:35.750	-106.33	6.44	14	0.077836	0.883768	0.40748	-0.225	0.153	0.18	0	706	115	3
2026-02-19	12:50:35.770	-98.77	-3.22	15.225	0.057584	0.67222	0.298412	-0.225	0.165	0.168	0	706	115	3
2026-02-19	12:50:35.790	-34.09	-12.81	12.18	0.120536	0.622688	0.2928	-0.225	0.1725	0.162	0	706	115	3
2026-02-19	12:50:35.810	19.075	-13.895	10.43	0.158356	0.979416	0.360144	-0.2265	0.174	0.162	0	689	125	3
2026-02-19	12:50:35.830	20.86	-13.405	8.365	0.179096	1.08214	0.447496	-0.231	0.1725	0.1635	0	689	125	3
2026-02-19	12:50:35.850	-6.86	-11.2	6.825	0.20374	1.106052	0.493612	-0.234	0.177	0.165	0	689	125	3
2026-02-19	12:50:35.870	-23.695	-7.595	-1.4	0.196908	1.059204	0.464088	-0.2325	0.177	0.165	0	689	125	3
2026-02-19	12:50:35.890	-19.285	-3.5	-13.405	0.203252	1.107516	0.421388	-0.234	0.18	0.1515	0	689	125	3
2026-02-19	12:50:35.910	-5.635	0.56	-24.29	0.172264	1.057008	0.383324	-0.2325	0.1845	0.1605	0	689	125	3
2026-02-19	12:50:35.930	12.04	-0.42	-30.345	0.163724	0.9882	0.322324	-0.24	0.183	0.159	0	689	125	3
2026-02-19	12:50:35.950	32.9	-1.575	-37.87	0.183732	0.906216	0.230336	-0.231	0.1815	0.1515	0	689	125	3
2026-02-19	12:50:35.970	53.76	-5.495	-38.465	0.143228	0.69052	0.167872	-0.228	0.183	0.1635	0	689	125	3
2026-02-19	12:50:35.990	81.725	-3.36	-34.965	0.029768	0.66734	0.199836	-0.2325	0.177	0.1665	0	689	125	3
2026-02-19	12:50:36.010	127.855	0.98	-30.1	0.079788	0.723704	0.221308	-0.228	0.162	0.174	0	662	165	3
2026-02-19	12:50:36.030	108.57	5.915	-17.045	0.051484	0.988688	0.212524	-0.222	0.1455	0.1875	0	662	165	3
2026-02-19	12:50:36.050	30.38	9.38	-1.05	0.083936	0.989908	0.260836	-0.216	0.138	0.2055	0	662	165	3
2026-02-19	12:50:36.070	-44.31	10.815	14	0.133468	0.966484	0.272548	-0.213	0.1335	0.207	0	662	165	3
2026-02-19	12:50:36.090	-82.25	11.725	17.5	0.202764	0.996252	0.248392	-0.2145	0.1395	0.1995	0	662	165	3
2026-02-19	12:50:36.110	-80.92	10.115	12.005	0.236436	1.005524	0.292068	-0.216	0.147	0.195	0	662	165	3
2026-02-19	12:50:36.130	-59.185	11.655	7.945	0.239852	0.984784	0.367464	-0.219	0.1515	0.1875	0	662	165	3
2026-02-19	12:50:36.150	-37.205	13.475	8.26	0.275964	0.968192	0.446032	-0.2025	0.165	0.1875	0	662	165	3
2026-02-19	12:50:36.170	-30.555	17.815	8.575	0.335012	0.886452	0.526064	-0.2145	0.159	0.18	0	662	165	3
2026-02-19	12:50:36.190	-35.14	28.63	9.1	0.329644	1.066524	0.5002	-0.216	0.1575	0.174	0	662	165	3
2026-02-19	12:50:36.210	-45.99	29.505	4.76	0.258884	0.986004	0.442372	-0.2115	0.165	0.1755	0	626	208	3
2026-02-19	12:50:36.230	-37.52	20.265	4.165	0.186904	0.824232	0.339892	-0.2025	0.174	0.174	0	626	208	3
2026-02-19	12:50:36.250	-28.665	19.25	4.34	0.105408	0.86376	0.306464	-0.2025	0.18	0.1695	0	626	208	3
2026-02-19	12:50:36.270	-56.42	20.65	8.925	0.060268	0.847412	0.345748	-0.201	0.1815	0.1665	0	626	208	3
2026-02-19	12:50:36.290	-100.415	9.87	23.975	0.012932	0.562664	0.336232	-0.1965	0.1845	0.1605	0	626	208	3
2026-02-19	12:50:36.310	-106.435	1.4	44.73	0.060268	0.411384	0.37576	-0.1995	0.1935	0.1545	0	626	208	3
2026-02-19	12:50:36.330	-117.39	17.57	99.995	-0.5124	0.090036	0.654408	-0.2025	0.2055	0.147	0	626	208	3
2026-02-19	12:50:36.350	-150.815	-4.375	98.91	0.06734399	0.776652	0.049288	-0.2055	0.2175	0.1425	0	626	208	3
2026-02-19	12:50:36.370	-186.235	-70.91	117.915	-0.276452	0.128832	0.287432	-0.2055	0.2175	0.1425	0	626	208	3
2026-02-19	12:50:36.390	-207.55	-44.765	116.725	-0.233508	1.19682	2.32654	-0.234	0.27	0.099	0	626	208	3
2026-02-19	12:50:36.410	-140.7	-14.945	116.69	0.805688	0.949648	-0.412604	-0.2415	0.2955	0.093	0	589	257	3
2026-02-19	12:50:36.430	-84.14	-93.94	153.23	0.639036	-0.105896	0.605364	-0.2535	0.3075	0.0885	0	589	257	3
2026-02-19	12:50:36.450	66.22	-21.42	113.295	0.39284	1.853668	0.963312	-0.2655	0.3225	0.0855	0	589	257	3
2026-02-19	12:50:36.470	-48.72	-40.635	49.875	0.560712	1.476688	0.8662	-0.2775	0.3195	0.0825	0	589	257	3
2026-02-19	12:50:36.490	-117.74	-46.165	-8.54	0.412116	0.60024	0.818864	-0.2895	0.321	0.0765	0	589	257	3
2026-02-19	12:50:36.510	-109.55	-40.565	-37.485	0.454328	0.544852	0.744688	-0.297	0.3345	0.0705	0	589	257	3
2026-02-19	12:50:36.530	-102.235	-41.615	-26.95	0.47092	0.41236	0.549488	-0.3045	0.342	0.0705	0	589	257	3
2026-02-19	12:50:36.550	-82.74	-55.965	-9.905	0.536068	0.275476	0.548512	-0.306	0.3735	0.069	0	589	257	3
2026-02-19	12:50:36.570	-29.61	-80.22	4.865	0.646112	0.337208	0.60024	-0.318	0.3885	0.066	0	589	257	3
2026-02-19	12:50:36.590	10.675	-86.73	9.03	0.67588	0.44286	0.6954	-0.33	0.3975	0.069	0	589	257	3
2026-02-19	12:50:48.610	17.92	53.13	-83.825	0.666364	0.51606	0.119316	-0.6705	0.18	0.465	0	419	132	3
2026-02-19	12:50:48.630	8.68	43.47	-85.855	0.703696	0.493856	0.101992	-0.6495	0.1755	0.462	0	419	132	3
2026-02-19	12:50:48.650	9.135	37.59	-86.66	0.69784	0.50996	0.09467199	-0.642	0.165	0.456	0	419	132	3
2026-02-19	12:50:48.670	5.18	29.54	-85.085	0.71248	0.526308	0.15616	-0.6375	0.1515	0.441	0	419	132	3
2026-02-19	12:50:48.690	-5.46	22.26	-82.04	0.781288	0.559248	0.203984	-0.6285	0.1455	0.444	0	419	132	3
2026-02-19	12:50:48.710	-29.19	18.165	-75.915	0.828868	0.553148	0.208132	-0.6195	0.126	0.447	0	419	132	3
2026-02-19	12:50:48.730	-41.51	14.805	-72.695	0.743712	0.402356	0.127612	-0.6105	0.129	0.435	0	419	132	3
2026-02-19	12:50:48.750	-28.035	10.22	-67.165	0.779092	0.44042	0.26108	-0.5895	0.126	0.4305	0	419	132	3
2026-02-19	12:50:48.770	-29.19	6.965	-61.04	0.772016	0.37454	0.257664	-0.5805	0.1125	0.423	0	419	132	3
2026-02-19	12:50:48.790	-32.935	3.78	-50.19	0.82472	0.404064	0.273524	-0.579	0.111	0.4185	0	419	132	3
2026-02-19	12:50:48.810	-47.565	3.955	-42.315	0.830332	0.560224	0.244976	-0.576	0.1125	0.408	0	404	135	3
2026-02-19	12:50:48.830	-47.565	1.225	-38.92	0.768112	0.451156	0.211792	-0.5655	0.1125	0.399	0	404	135	3
2026-02-19	12:50:48.850	-35.35	1.54	-33.74	0.744444	0.522404	0.25254	-0.5655	0.1125	0.399	0	404	135	3
2026-02-19	12:50:48.870	-45.22	-6.09	-24.64	0.829112	0.527284	0.226676	-0.555	0.1095	0.393	0	404	135	3
2026-02-19	12:50:48.890	-59.465	-16.24	-15.19	0.878888	0.55876	0.23058	-0.546	0.108	0.3885	0	404	135	3
2026-02-19	12:50:48.910	-65.03	-25.795	-10.64	0.90036	0.449936	0.230336	-0.54	0.108	0.384	0	404	135	3
2026-02-19	12:50:48.930	-58.1	-27.195	-11.69	0.916464	0.477264	0.309392	-0.558	0.105	0.3825	0	404	135	3
2026-02-19	12:50:48.950	-60.97	-24.185	-11.55	0.911828	0.412604	0.331352	-0.549	0.105	0.366	0	404	135	3
2026-02-19	12:50:48.970	-64.47	-21.91	-2.1	0.90158	0.364048	0.310368	-0.5325	0.1035	0.378	0	404	135	3
2026-02-19	12:50:48.990	-61.005	-20.51	3.71	0.86498	0.36356	0.267424	-0.549	0.1095	0.363	0	404	135	3
2026-02-19	12:50:49.010	-50.33	-24.71	6.965	0.90402	0.313784	0.213988	-0.543	0.12	0.3495	0	387	152	3
2026-02-19	12:50:49.030	-37.205	-26.53	12.81	0.94306	0.327692	0.2196	-0.5505	0.117	0.348	0	387	152	3
2026-02-19	12:50:49.050	-37.31	-24.885	19.25	0.962092	0.38796	0.263032	-0.552	0.126	0.348	0	387	152	3
2026-02-19	12:50:49.070	-45.535	-25.235	19.915	0.977708	0.34038	-0.012688	-0.5565	0.129	0.3525	0	387	152	3
2026-02-19	12:50:49.090	-159.075	-38.43	-6.58	2.541016	1.285392	1.029436	-0.5565	0.123	0.3465	0	387	152	3
2026-02-19	12:50:49.110	-36.12	-15.68	0.525	0.828624	-0.839848	-0.267912	-0.555	0.129	0.33	0	387	152	3
2026-02-19	12:50:49.130	-98.875	-52.815	-5.215	0.73444	0.51362	0.247904	-0.564	0.138	0.327	0	387	152	3
2026-02-19	12:50:49.150	-86.695	-67.27	11.55	0.77958	-0.165188	0.209596	-0.564	0.138	0.327	0	387	152	3
2026-02-19	12:50:49.170	-38.29	-46.48	16.1	1.031144	0.065148	0.239852	-0.564	0.147	0.318	0	387	152	3
2026-02-19	12:50:49.190	34.685	-15.26	26.145	0.914512	0.06832	0.135664	-0.5655	0.156	0.3105	0	387	152	3
2026-02-19	12:50:49.210	93.905	-1.085	29.435	0.728096	0.297436	0.04392	-0.576	0.1545	0.3195	0	372	175	3
2026-02-19	12:50:49.230	97.44	-8.575	34.475	0.954284	0.693204	0.2684	-0.5775	0.1635	0.3255	0	372	175	3
2026-02-19	12:50:49.250	63.63	-9.135	19.565	0.74786	0.828136	0.13176	-0.5925	0.156	0.336	0	372	175	3
2026-02-19	12:50:49.270	-19.985	-25.795	8.505	0.731512	0.775676	0.116876	-0.588	0.147	0.3345	0	372	175	3
2026-02-19	12:50:49.290	-59.255	-43.015	11.865	0.77226	0.444568	0.207888	-0.588	0.1575	0.3375	0	372	175	3
2026-02-19	12:50:49.310	-43.435	-44.03	19.53	0.920612	0.51972	0.429928	-0.5865	0.159	0.345	0	372	175	3
2026-02-19	12:50:49.330	-9.31	-34.3	20.895	1.007964	0.282308	0.646356	-0.6045	0.1575	0.348	0	372	175	3
2026-02-19	12:50:49.350	9.275	-18.375	18.48	0.907192	0.301584	0.546316	-0.603	0.156	0.342	0	372	175	3
2026-02-19	12:50:49.370	-2.205	-21.385	21.805	0.86132	0.269864	0.573156	-0.6015	0.1605	0.3465	0	372	175	3
2026-02-19	12:50:49.390	0	-23.205	24.85	0.930128	0.227896	0.5368	-0.609	0.168	0.348	0	372	175	3
2026-02-19	12:50:49.410	26.04	-11.34	23.8	0.848876	0.297924	0.498248	-0.627	0.1665	0.354	0	365	201	3
2026-02-19	12:50:49.430	14.035	-9.625	24.465	0.815448	0.557784	0.511424	-0.615	0.1695	0.36	0	365	201	3
2026-02-19	12:50:49.450	-35.21	-20.72	25.69	0.75396	0.739564	0.210816	-0.6225	0.1665	0.3555	0	365	201	3
2026-02-19	12:50:49.470	-22.015	-18.34	28.175	0.8174	0.527528	0.142984	-0.6285	0.171	0.3555	0	365	201	3
2026-02-19	12:50:49.490	-27.685	-24.36	24.15	0.895968	0.47214	0.04392	-0.6375	0.1815	0.3555	0	365	201	3
2026-02-19	12:50:49.510	-35.105	-31.955	20.405	0.814716	0.14152	0.05612	-0.639	0.1875	0.3555	0	365	201	3
2026-02-19	12:50:49.530	-28.315	-44.66	29.015	1.220244	-0.142496	0.001952	-0.6345	0.186	0.357	0	365	201	3
2026-02-19	12:50:49.550	8.855	-30.695	28.7	1.058472	-0.07442	0.032452	-0.657	0.1845	0.3615	0	365	201	3
2026-02-19	12:50:49.570	18.095	-26.355	27.195	0.953796	0.21838	0.02684	-0.648	0.192	0.357	0	365	201	3
2026-02-19	12:50:49.590	-7.63	-31.15	27.65	1.108248	0.310124	0.084668	-0.6585	0.192	0.3705	0	365	201	3
2026-02-19	12:50:49.610	-4.34	-24.185	16.66	0.880352	0.175924	-0.098332	-0.654	0.207	0.381	0	361	221	2
2026-02-19	12:50:49.630	-3.29	-33.11	20.475	0.951844	0.17812	-0.011712	-0.6615	0.204	0.369	0	361	221	2
2026-02-19	12:50:49.650	-0.105	-34.125	23.275	0.965996	0.38674	0.206912	-0.6585	0.2055	0.378	0	361	221	2
2026-02-19	12:50:49.670	1.12	-28.77	20.72	0.85766	0.603656	0.157624	-0.6705	0.2085	0.387	0	361	221	2
2026-02-19	12:50:49.690	-1.75	-25.025	20.09	0.864492	0.412848	0.061732	-0.6705	0.2025	0.378	0	361	221	2
2026-02-19	12:50:49.710	-8.925	-30.17	22.4	0.953796	0.244	0.088328	-0.681	0.21	0.393	0	361	221	2
2026-02-19	12:50:49.730	-17.64	-30.415	23.24	0.961604	0.238144	0.216184	-0.672	0.2145	0.3915	0	361	221	2
2026-02-19	12:50:49.750	-19.81	-22.54	22.89	1.058716	-0.031232	0.272304	-0.678	0.2235	0.3975	0	361	221	2
2026-02-19	12:50:49.770	-3.045	-13.09	26.705	1.052616	-0.13176	0.065148	-0.681	0.2235	0.3975	0	361	221	2
2026-02-19	12:50:49.790	29.33	-9.45	28.175	0.973072	0.1464	-0.04758	-0.687	0.2265	0.396	0	361	221	2
