yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-19	12:32:01.810	-2.415	-3.36	-0.42	0.751032	0.583648	0.402356	-0.5055	0.06	0.318	0	124	359	3
2026-02-19	12:32:01.830	-3.15	-2.485	-1.4	0.767624	0.579744	0.43066	-0.516	0.06	0.3195	0	124	359	3
2026-02-19	12:32:01.850	-8.645	0.28	-2.52	0.75884	0.5673	0.455792	-0.513	0.0645	0.3255	0	124	359	3
2026-02-19	12:32:01.870	-9.03	0.63	-4.235	0.761524	0.586088	0.367708	-0.516	0.063	0.3225	0	124	359	3
2026-02-19	12:32:01.890	-6.86	-0.035	-4.865	0.782752	0.586332	0.348432	-0.5175	0.0615	0.321	0	124	359	3
2026-02-19	12:32:01.910	-7.21	0.28	-4.445	0.77958	0.564128	0.368196	-0.5145	0.066	0.315	0	124	359	3
2026-02-19	12:32:01.930	-5.285	1.05	-5.355	0.798856	0.55388	0.415776	-0.51	0.0705	0.321	0	124	359	3
2026-02-19	12:32:01.950	-4.795	2.59	-5.565	0.803004	0.55266	0.389668	-0.5085	0.06	0.3135	0	124	359	3
2026-02-19	12:32:01.970	1.26	3.885	-5.285	0.796172	0.537288	0.3721	-0.5085	0.06	0.3135	0	124	359	3
2026-02-19	12:32:01.990	0.665	5.74	-4.515	0.762988	0.492148	0.388204	-0.5085	0.0585	0.3165	0	124	359	3
2026-02-19	12:32:02.010	12.355	4.655	-4.165	0.790316	0.495808	0.360144	-0.507	0.0615	0.318	0	114	364	3
2026-02-19	12:32:02.030	22.96	6.405	-2.59	0.772748	0.50386	0.34648	-0.5055	0.0675	0.315	0	114	364	3
2026-02-19	12:32:02.050	35.875	7.56	0.175	0.783972	0.52094	0.372588	-0.507	0.063	0.318	0	114	364	3
2026-02-19	12:32:02.070	51.8	11.48	1.645	0.757132	0.532164	0.371612	-0.5085	0.0555	0.324	0	114	364	3
2026-02-19	12:32:02.090	56.945	13.475	2.8	0.723704	0.545584	0.340624	-0.501	0.0615	0.3285	0	114	364	3
2026-02-19	12:32:02.110	65.345	14.14	4.025	0.72346	0.59536	0.319884	-0.5175	0.0495	0.345	0	114	364	3
2026-02-19	12:32:02.130	61.6	16.52	5.6	0.698084	0.64782	0.298412	-0.5085	0.0465	0.351	0	114	364	3
2026-02-19	12:32:02.150	49.56	16.695	6.125	0.686372	0.651236	0.274256	-0.5025	0.048	0.3525	0	114	364	3
2026-02-19	12:32:02.170	44.625	15.47	5.67	0.68564	0.68076	0.245952	-0.507	0.048	0.3615	0	114	364	3
2026-02-19	12:32:02.190	36.75	13.93	4.55	0.687836	0.713944	0.231068	-0.5145	0.042	0.3615	0	114	364	3
2026-02-19	12:32:02.210	23.065	11.62	3.22	0.698572	0.735904	0.213988	-0.5055	0.042	0.369	0	105	364	3
2026-02-19	12:32:02.230	9.94	7.98	1.715	0.695156	0.7259	0.209108	-0.5145	0.0405	0.3705	0	105	364	3
2026-02-19	12:32:02.250	-1.12	2.975	-0.98	0.713944	0.704916	0.240828	-0.51	0.042	0.3675	0	105	364	3
2026-02-19	12:32:02.270	-8.82	2.205	-2.065	0.726876	0.688568	0.28914	-0.51	0.0405	0.369	0	105	364	3
2026-02-19	12:32:02.290	-15.925	2.8	-3.955	0.743468	0.658312	0.314028	-0.5115	0.0405	0.3675	0	105	364	3
2026-02-19	12:32:02.310	-19.355	4.095	-3.815	0.73688	0.622688	0.310856	-0.5055	0.045	0.3675	0	105	364	3
2026-02-19	12:32:02.330	-18.9	4.34	-2.975	0.725412	0.611464	0.310612	-0.5025	0.0435	0.3675	0	105	364	3
2026-02-19	12:32:02.350	-18.27	4.025	-2.205	0.721508	0.61488	0.3172	-0.504	0.039	0.366	0	105	364	3
2026-02-19	12:32:02.370	-17.29	3.85	-2.31	0.723948	0.605608	0.331108	-0.5055	0.039	0.3675	0	105	364	3
2026-02-19	12:32:02.390	-17.08	3.85	-2.8	0.726632	0.60024	0.332572	-0.5085	0.0435	0.36	0	105	364	3
2026-02-19	12:32:02.410	-14.7	3.71	-3.325	0.7259	0.579012	0.325496	-0.4995	0.0465	0.363	0	98	355	3
2026-02-19	12:32:02.430	-12.075	2.555	-3.255	0.727364	0.576328	0.320616	-0.495	0.048	0.3585	0	98	355	3
2026-02-19	12:32:02.450	-11.2	0.945	-2.31	0.719556	0.576816	0.333792	-0.5055	0.0435	0.3525	0	98	355	3
2026-02-19	12:32:02.470	-10.43	-1.05	-1.54	0.722972	0.579012	0.350872	-0.498	0.045	0.3585	0	98	355	3
2026-02-19	12:32:02.490	-8.33	-2.45	-0.875	0.726144	0.577548	0.359412	-0.5025	0.042	0.339	0	98	355	3
2026-02-19	12:32:02.510	-4.62	-2.87	-0.525	0.741028	0.586576	0.355508	-0.4995	0.051	0.3495	0	98	355	3
2026-02-19	12:32:02.530	-5.95	-1.645	1.365	0.756156	0.593164	0.364536	-0.4965	0.048	0.3435	0	98	355	3
2026-02-19	12:32:02.550	-5.67	-0.7	1.925	0.748592	0.5856	0.352824	-0.4995	0.045	0.348	0	98	355	3
2026-02-19	12:32:02.570	-1.4	-1.015	2.485	0.743224	0.595848	0.322568	-0.501	0.045	0.3465	0	98	355	3
2026-02-19	12:32:02.590	0.7	-1.82	2.835	0.732976	0.620492	0.313784	-0.504	0.0435	0.3435	0	98	355	3
2026-02-19	12:32:02.610	-0.665	-2.625	2.905	0.72712	0.623908	0.31964	-0.5055	0.045	0.345	0	93	346	3
2026-02-19	12:32:02.630	-2.975	-3.185	2.66	0.731268	0.624396	0.334036	-0.504	0.048	0.3465	0	93	346	3
2026-02-19	12:32:02.650	-4.2	-2.94	1.89	0.732244	0.618296	0.345992	-0.5025	0.048	0.348	0	93	346	3
2026-02-19	12:32:02.670	-2.835	-2.275	0.665	0.739564	0.615612	0.351848	-0.5025	0.0495	0.348	0	93	346	3
2026-02-19	12:32:02.690	-1.015	-1.33	-0.28	0.736392	0.606828	0.345748	-0.5025	0.0465	0.348	0	93	346	3
2026-02-19	12:32:02.710	-0.665	-1.05	0.14	0.739564	0.610488	0.355264	-0.5055	0.051	0.342	0	93	346	3
2026-02-19	12:32:02.730	-1.61	-0.56	0.77	0.730536	0.607804	0.362096	-0.498	0.0465	0.342	0	93	346	3
2026-02-19	12:32:02.750	-2.38	-0.385	1.015	0.726388	0.600484	0.348676	-0.5025	0.0555	0.3525	0	93	346	3
2026-02-19	12:32:02.770	-2.73	-0.665	0.525	0.7259	0.609024	0.3477	-0.504	0.048	0.3495	0	93	346	3
2026-02-19	12:32:02.790	-3.395	-1.155	0.105	0.734684	0.61488	0.358436	-0.5055	0.039	0.348	0	93	346	3
2026-02-19	12:32:00.810	8.715	-5.25	12.775	0.81252	0.538264	0.332328	-0.5475	0.0675	0.3345	0	188	373	2
2026-02-19	12:32:00.830	9.065	-4.515	13.02	0.820816	0.570716	0.3477	-0.54	0.078	0.342	0	188	373	2
2026-02-19	12:32:00.850	8.47	-3.815	12.39	0.823988	0.576816	0.363072	-0.54	0.078	0.342	0	188	373	2
2026-02-19	12:32:00.870	6.265	-2.835	11.69	0.828868	0.58926	0.365024	-0.5475	0.0615	0.3405	0	188	373	2
2026-02-19	12:32:00.890	1.435	-2.485	10.745	0.833016	0.610244	0.354776	-0.5595	0.078	0.3435	0	188	373	2
2026-02-19	12:32:00.910	0.63	-3.745	8.19	0.821792	0.600972	0.3416	-0.5535	0.0705	0.351	0	188	373	2
2026-02-19	12:32:00.930	2.87	-5.39	4.935	0.830576	0.610244	0.347456	-0.549	0.0735	0.357	0	188	373	2
2026-02-19	12:32:00.950	-6.335	-3.15	1.855	0.852292	0.691496	0.362584	-0.5565	0.0795	0.3585	0	188	373	2
2026-02-19	12:32:00.970	-28.42	3.815	-1.995	0.84668	0.68442	0.33306	-0.552	0.072	0.3525	0	188	373	2
2026-02-19	12:32:00.990	-41.93	9.275	-7.21	0.79056	0.665144	0.368928	-0.552	0.072	0.3465	0	188	373	2
2026-02-19	12:32:01.010	-48.02	8.225	-11.2	0.758108	0.59048	0.372588	-0.5595	0.0735	0.345	0	173	364	3
2026-02-19	12:32:01.030	-47.18	4.025	-12.11	0.743224	0.556076	0.271572	-0.555	0.084	0.336	0	173	364	3
2026-02-19	12:32:01.050	-40.985	-1.96	-11.06	0.73566	0.516304	0.235704	-0.555	0.075	0.336	0	173	364	3
2026-02-19	12:32:01.070	-30.17	-4.235	-11.025	0.742736	0.495808	0.328912	-0.5565	0.0765	0.3225	0	173	364	3
2026-02-19	12:32:01.090	-19.775	-3.08	-11.69	0.782508	0.492392	0.403576	-0.543	0.078	0.324	0	173	364	3
2026-02-19	12:32:01.110	-8.75	5.04	-11.585	0.810812	0.51728	0.457744	-0.5415	0.075	0.309	0	173	364	3
2026-02-19	12:32:01.130	-4.165	14	-10.57	0.793244	0.568764	0.406992	-0.5415	0.075	0.309	0	173	364	3
2026-02-19	12:32:01.150	4.025	15.365	-13.3	0.7808	0.6405	0.366976	-0.543	0.0825	0.3135	0	173	364	3
2026-02-19	12:32:01.170	3.185	13.72	-16.31	0.774212	0.594872	0.358192	-0.5385	0.078	0.309	0	173	364	3
2026-02-19	12:32:01.190	0.455	11.025	-18.2	0.757864	0.580964	0.336964	-0.5355	0.0735	0.315	0	173	364	3
2026-02-19	12:32:01.210	-3.325	8.225	-20.51	0.752008	0.537532	0.338916	-0.534	0.0765	0.303	0	159	360	3
2026-02-19	12:32:01.230	-5.635	6.825	-20.125	0.721508	0.491172	0.336964	-0.5295	0.075	0.3105	0	159	360	3
2026-02-19	12:32:01.250	-4.725	4.795	-16.905	0.709064	0.45628	0.329888	-0.5235	0.0705	0.309	0	159	360	3
2026-02-19	12:32:01.270	-0.07	2.73	-11.41	0.69906	0.44164	0.323056	-0.5175	0.0705	0.312	0	159	360	3
2026-02-19	12:32:01.290	3.57	1.365	-5.425	0.720044	0.475068	0.35502	-0.5265	0.0735	0.303	0	159	360	3
2026-02-19	12:32:01.310	3.85	2.485	-0.91	0.739808	0.484828	0.376004	-0.5115	0.078	0.312	0	159	360	3
2026-02-19	12:32:01.330	7.35	4.165	2.205	0.760792	0.516548	0.369172	-0.5085	0.063	0.3105	0	159	360	3
2026-02-19	12:32:01.350	12.67	5.705	3.64	0.74786	0.536068	0.345992	-0.516	0.075	0.306	0	159	360	3
2026-02-19	12:32:01.370	15.68	6.335	3.955	0.754448	0.574376	0.332328	-0.516	0.072	0.3135	0	159	360	3
2026-02-19	12:32:01.390	15.995	6.16	3.5	0.766404	0.574864	0.325984	-0.5175	0.069	0.309	0	159	360	3
2026-02-19	12:32:01.410	15.155	6.16	2.59	0.745664	0.60024	0.332084	-0.5175	0.069	0.309	0	147	358	3
2026-02-19	12:32:01.430	10.5	4.375	1.365	0.758596	0.61854	0.343064	-0.5175	0.0675	0.3105	0	147	358	3
2026-02-19	12:32:01.450	5.67	3.22	-0.21	0.7503	0.627812	0.336232	-0.5175	0.066	0.312	0	147	358	3
2026-02-19	12:32:01.470	1.295	1.26	-2.415	0.732976	0.607804	0.338428	-0.5235	0.078	0.306	0	147	358	3
2026-02-19	12:32:01.490	-1.75	-0.665	-4.27	0.732732	0.59536	0.352092	-0.5205	0.0705	0.3165	0	147	358	3
2026-02-19	12:32:01.510	-3.535	-2.205	-5.005	0.727608	0.564128	0.363072	-0.513	0.0675	0.3195	0	147	358	3
2026-02-19	12:32:01.530	-2.8	-3.395	-4.13	0.729072	0.549244	0.375028	-0.519	0.072	0.3165	0	147	358	3
2026-02-19	12:32:01.550	0.28	-3.78	-2.625	0.741272	0.55876	0.376248	-0.513	0.0615	0.3195	0	147	358	3
2026-02-19	12:32:01.570	2.135	-3.465	-1.33	0.744444	0.559736	0.37332	-0.5145	0.0705	0.3255	0	147	358	3
2026-02-19	12:32:01.590	3.115	-2.73	0.105	0.757132	0.560468	0.364048	-0.51	0.063	0.3195	0	147	358	3
2026-02-19	12:32:01.610	3.395	-2.555	1.435	0.767624	0.5673	0.361364	-0.5085	0.0705	0.315	0	135	358	3
2026-02-19	12:32:01.630	4.445	-2.31	2.485	0.783728	0.574132	0.36966	-0.5175	0.0645	0.3165	0	135	358	3
2026-02-19	12:32:01.650	5.81	-1.365	2.87	0.783484	0.579988	0.359412	-0.51	0.063	0.321	0	135	358	3
2026-02-19	12:32:01.670	5.775	-0.84	1.645	0.783972	0.597068	0.338672	-0.5205	0.0645	0.318	0	135	358	3
2026-02-19	12:32:01.690	1.995	-0.665	0.105	0.77714	0.587064	0.328424	-0.5205	0.0645	0.318	0	135	358	3
2026-02-19	12:32:01.710	-1.19	-1.05	-1.085	0.75884	0.577548	0.330132	-0.5175	0.0645	0.318	0	135	358	3
2026-02-19	12:32:01.730	-2.625	-2.065	-1.855	0.7564	0.570472	0.345748	-0.5175	0.063	0.321	0	135	358	3
2026-02-19	12:32:01.750	-3.22	-3.01	-1.785	0.746884	0.556564	0.366976	-0.522	0.0615	0.3255	0	135	358	3
2026-02-19	12:32:01.770	-2.73	-3.465	-1.19	0.739564	0.547048	0.376004	-0.5055	0.0645	0.33	0	135	358	3
2026-02-19	12:32:01.790	-1.645	-3.71	-0.595	0.741028	0.561444	0.392352	-0.51	0.063	0.318	0	135	358	3
2026-02-19	12:32:01.810	-2.415	-3.36	-0.42	0.751032	0.583648	0.402356	-0.5055	0.06	0.318	0	124	359	3
2026-02-19	12:32:01.830	-3.15	-2.485	-1.4	0.767624	0.579744	0.43066	-0.516	0.06	0.3195	0	124	359	3
2026-02-19	12:32:01.850	-8.645	0.28	-2.52	0.75884	0.5673	0.455792	-0.513	0.0645	0.3255	0	124	359	3
2026-02-19	12:32:01.870	-9.03	0.63	-4.235	0.761524	0.586088	0.367708	-0.516	0.063	0.3225	0	124	359	3
2026-02-19	12:32:01.890	-6.86	-0.035	-4.865	0.782752	0.586332	0.348432	-0.5175	0.0615	0.321	0	124	359	3
2026-02-19	12:32:01.910	-7.21	0.28	-4.445	0.77958	0.564128	0.368196	-0.5145	0.066	0.315	0	124	359	3
2026-02-19	12:32:01.930	-5.285	1.05	-5.355	0.798856	0.55388	0.415776	-0.51	0.0705	0.321	0	124	359	3
2026-02-19	12:32:01.950	-4.795	2.59	-5.565	0.803004	0.55266	0.389668	-0.5085	0.06	0.3135	0	124	359	3
2026-02-19	12:32:01.970	1.26	3.885	-5.285	0.796172	0.537288	0.3721	-0.5085	0.06	0.3135	0	124	359	3
2026-02-19	12:32:01.990	0.665	5.74	-4.515	0.762988	0.492148	0.388204	-0.5085	0.0585	0.3165	0	124	359	3
2026-02-19	12:32:02.010	12.355	4.655	-4.165	0.790316	0.495808	0.360144	-0.507	0.0615	0.318	0	114	364	3
2026-02-19	12:32:02.030	22.96	6.405	-2.59	0.772748	0.50386	0.34648	-0.5055	0.0675	0.315	0	114	364	3
2026-02-19	12:32:02.050	35.875	7.56	0.175	0.783972	0.52094	0.372588	-0.507	0.063	0.318	0	114	364	3
2026-02-19	12:32:02.070	51.8	11.48	1.645	0.757132	0.532164	0.371612	-0.5085	0.0555	0.324	0	114	364	3
2026-02-19	12:32:02.090	56.945	13.475	2.8	0.723704	0.545584	0.340624	-0.501	0.0615	0.3285	0	114	364	3
2026-02-19	12:32:02.110	65.345	14.14	4.025	0.72346	0.59536	0.319884	-0.5175	0.0495	0.345	0	114	364	3
2026-02-19	12:32:02.130	61.6	16.52	5.6	0.698084	0.64782	0.298412	-0.5085	0.0465	0.351	0	114	364	3
2026-02-19	12:32:02.150	49.56	16.695	6.125	0.686372	0.651236	0.274256	-0.5025	0.048	0.3525	0	114	364	3
2026-02-19	12:32:02.170	44.625	15.47	5.67	0.68564	0.68076	0.245952	-0.507	0.048	0.3615	0	114	364	3
2026-02-19	12:32:02.190	36.75	13.93	4.55	0.687836	0.713944	0.231068	-0.5145	0.042	0.3615	0	114	364	3
2026-02-19	12:32:02.210	23.065	11.62	3.22	0.698572	0.735904	0.213988	-0.5055	0.042	0.369	0	105	364	3
2026-02-19	12:32:02.230	9.94	7.98	1.715	0.695156	0.7259	0.209108	-0.5145	0.0405	0.3705	0	105	364	3
2026-02-19	12:32:02.250	-1.12	2.975	-0.98	0.713944	0.704916	0.240828	-0.51	0.042	0.3675	0	105	364	3
2026-02-19	12:32:02.270	-8.82	2.205	-2.065	0.726876	0.688568	0.28914	-0.51	0.0405	0.369	0	105	364	3
2026-02-19	12:32:02.290	-15.925	2.8	-3.955	0.743468	0.658312	0.314028	-0.5115	0.0405	0.3675	0	105	364	3
2026-02-19	12:32:02.310	-19.355	4.095	-3.815	0.73688	0.622688	0.310856	-0.5055	0.045	0.3675	0	105	364	3
2026-02-19	12:32:02.330	-18.9	4.34	-2.975	0.725412	0.611464	0.310612	-0.5025	0.0435	0.3675	0	105	364	3
2026-02-19	12:32:02.350	-18.27	4.025	-2.205	0.721508	0.61488	0.3172	-0.504	0.039	0.366	0	105	364	3
2026-02-19	12:32:02.370	-17.29	3.85	-2.31	0.723948	0.605608	0.331108	-0.5055	0.039	0.3675	0	105	364	3
2026-02-19	12:32:02.390	-17.08	3.85	-2.8	0.726632	0.60024	0.332572	-0.5085	0.0435	0.36	0	105	364	3
2026-02-19	12:32:02.410	-14.7	3.71	-3.325	0.7259	0.579012	0.325496	-0.4995	0.0465	0.363	0	98	355	3
2026-02-19	12:32:02.430	-12.075	2.555	-3.255	0.727364	0.576328	0.320616	-0.495	0.048	0.3585	0	98	355	3
2026-02-19	12:32:02.450	-11.2	0.945	-2.31	0.719556	0.576816	0.333792	-0.5055	0.0435	0.3525	0	98	355	3
2026-02-19	12:32:02.470	-10.43	-1.05	-1.54	0.722972	0.579012	0.350872	-0.498	0.045	0.3585	0	98	355	3
2026-02-19	12:32:02.490	-8.33	-2.45	-0.875	0.726144	0.577548	0.359412	-0.5025	0.042	0.339	0	98	355	3
2026-02-19	12:32:02.510	-4.62	-2.87	-0.525	0.741028	0.586576	0.355508	-0.4995	0.051	0.3495	0	98	355	3
2026-02-19	12:32:02.530	-5.95	-1.645	1.365	0.756156	0.593164	0.364536	-0.4965	0.048	0.3435	0	98	355	3
2026-02-19	12:32:02.550	-5.67	-0.7	1.925	0.748592	0.5856	0.352824	-0.4995	0.045	0.348	0	98	355	3
2026-02-19	12:32:02.570	-1.4	-1.015	2.485	0.743224	0.595848	0.322568	-0.501	0.045	0.3465	0	98	355	3
2026-02-19	12:32:02.590	0.7	-1.82	2.835	0.732976	0.620492	0.313784	-0.504	0.0435	0.3435	0	98	355	3
2026-02-19	12:32:02.610	-0.665	-2.625	2.905	0.72712	0.623908	0.31964	-0.5055	0.045	0.345	0	93	346	3
2026-02-19	12:32:02.630	-2.975	-3.185	2.66	0.731268	0.624396	0.334036	-0.504	0.048	0.3465	0	93	346	3
2026-02-19	12:32:02.650	-4.2	-2.94	1.89	0.732244	0.618296	0.345992	-0.5025	0.048	0.348	0	93	346	3
2026-02-19	12:32:02.670	-2.835	-2.275	0.665	0.739564	0.615612	0.351848	-0.5025	0.0495	0.348	0	93	346	3
2026-02-19	12:32:02.690	-1.015	-1.33	-0.28	0.736392	0.606828	0.345748	-0.5025	0.0465	0.348	0	93	346	3
2026-02-19	12:32:02.710	-0.665	-1.05	0.14	0.739564	0.610488	0.355264	-0.5055	0.051	0.342	0	93	346	3
2026-02-19	12:32:02.730	-1.61	-0.56	0.77	0.730536	0.607804	0.362096	-0.498	0.0465	0.342	0	93	346	3
2026-02-19	12:32:02.750	-2.38	-0.385	1.015	0.726388	0.600484	0.348676	-0.5025	0.0555	0.3525	0	93	346	3
2026-02-19	12:32:02.770	-2.73	-0.665	0.525	0.7259	0.609024	0.3477	-0.504	0.048	0.3495	0	93	346	3
2026-02-19	12:32:02.790	-3.395	-1.155	0.105	0.734684	0.61488	0.358436	-0.5055	0.039	0.348	0	93	346	3
2026-02-19	12:32:00.810	8.715	-5.25	12.775	0.81252	0.538264	0.332328	-0.5475	0.0675	0.3345	0	188	373	2
2026-02-19	12:32:00.830	9.065	-4.515	13.02	0.820816	0.570716	0.3477	-0.54	0.078	0.342	0	188	373	2
2026-02-19	12:32:00.850	8.47	-3.815	12.39	0.823988	0.576816	0.363072	-0.54	0.078	0.342	0	188	373	2
2026-02-19	12:32:00.870	6.265	-2.835	11.69	0.828868	0.58926	0.365024	-0.5475	0.0615	0.3405	0	188	373	2
2026-02-19	12:32:00.890	1.435	-2.485	10.745	0.833016	0.610244	0.354776	-0.5595	0.078	0.3435	0	188	373	2
2026-02-19	12:32:00.910	0.63	-3.745	8.19	0.821792	0.600972	0.3416	-0.5535	0.0705	0.351	0	188	373	2
2026-02-19	12:32:00.930	2.87	-5.39	4.935	0.830576	0.610244	0.347456	-0.549	0.0735	0.357	0	188	373	2
2026-02-19	12:32:00.950	-6.335	-3.15	1.855	0.852292	0.691496	0.362584	-0.5565	0.0795	0.3585	0	188	373	2
2026-02-19	12:32:00.970	-28.42	3.815	-1.995	0.84668	0.68442	0.33306	-0.552	0.072	0.3525	0	188	373	2
2026-02-19	12:32:00.990	-41.93	9.275	-7.21	0.79056	0.665144	0.368928	-0.552	0.072	0.3465	0	188	373	2
2026-02-19	12:32:21.010	70.77	-30.555	41.44	0.942328	0.170068	0.407236	-0.753	0.345	0.474	0	356	170	2
2026-02-19	12:32:21.030	117.25	-19.145	56.035	1.238056	0.184952	0.396256	-0.7545	0.3495	0.4815	0	356	170	2
2026-02-19	12:32:21.050	134.995	8.82	64.47	1.819996	0.446032	0.394304	-0.759	0.3555	0.4875	0	356	170	2
2026-02-19	12:32:21.070	129.78	21.315	44.87	2.104744	0.665144	0.340868	-0.756	0.3675	0.489	0	356	170	2
2026-02-19	12:32:21.090	84.315	8.155	0.35	1.609912	0.478728	0.19886	-0.7605	0.3765	0.495	0	356	170	2
2026-02-19	12:32:21.110	3.22	-9.345	-39.76	1.108248	-0.040992	0.150304	-0.765	0.378	0.4965	0	356	170	2
2026-02-19	12:32:21.130	-76.545	0.945	-55.755	0.819352	-0.328424	0.341844	-0.765	0.3765	0.4935	0	356	170	2
2026-02-19	12:32:21.150	-120.645	14.175	-77.945	0.853512	-0.235704	0.393572	-0.7605	0.3645	0.492	0	356	170	2
2026-02-19	12:32:21.170	-107.17	24.36	-106.155	0.968924	-0.18788	0.37698	-0.7545	0.351	0.4845	0	356	170	2
2026-02-19	12:32:21.190	-39.41	47.04	-126.945	1.02358	-0.187148	0.323056	-0.753	0.348	0.477	0	356	170	2
2026-02-19	12:32:21.210	1.435	59.255	-134.365	0.980392	-0.01586	0.288408	-0.753	0.348	0.477	0	377	188	3
2026-02-19	12:32:21.230	13.195	67.69	-140.63	0.981368	0.178608	0.205204	-0.7335	0.288	0.4515	0	377	188	3
2026-02-19	12:32:21.250	-1.645	72.66	-148.645	0.996984	0.312564	0.096624	-0.723	0.2715	0.444	0	377	188	3
2026-02-19	12:32:21.270	-17.885	73.955	-156.73	1.015284	0.382104	0.111508	-0.7155	0.2445	0.4335	0	377	188	3
2026-02-19	12:32:21.290	-31.535	72.8	-163.03	0.962092	0.382104	0.16714	-0.699	0.2205	0.4215	0	377	188	3
2026-02-19	12:32:21.310	-42.105	75.04	-165.69	0.851072	0.362828	0.132248	-0.6885	0.2145	0.4095	0	377	188	3
2026-02-19	12:32:21.330	-45.43	78.61	-157.08	0.681492	0.243024	0.040504	-0.672	0.201	0.3885	0	377	188	3
2026-02-19	12:32:21.350	-37.45	78.47	-136.465	0.606096	0.029036	-0.094916	-0.6555	0.186	0.3765	0	377	188	3
2026-02-19	12:32:21.370	-22.26	71.75	-109.655	0.4575	0.244244	-0.053436	-0.6345	0.171	0.363	0	377	188	3
2026-02-19	12:32:21.390	-4.69	62.3	-88.62	0.4941	0.468968	0.186416	-0.618	0.1575	0.3495	0	377	188	3
2026-02-19	12:32:21.410	15.575	58.59	-74.235	0.749812	0.427976	0.234728	-0.6075	0.1455	0.342	0	389	200	3
2026-02-19	12:32:21.430	30.03	52.815	-67.445	0.852292	0.541436	0.317444	-0.5895	0.138	0.336	0	389	200	3
2026-02-19	12:32:21.450	31.92	42.56	-60.655	0.79666	0.351116	0.155916	-0.5775	0.1335	0.3345	0	389	200	3
2026-02-19	12:32:21.470	19.39	16.345	-51.135	0.874984	0.047336	0.156404	-0.579	0.1335	0.333	0	389	200	3
2026-02-19	12:32:21.490	-0.385	-1.89	-29.96	0.934764	-0.217404	0.15006	-0.579	0.1335	0.333	0	389	200	3
2026-02-19	12:32:21.510	-10.045	-17.955	-8.19	0.942816	-0.156892	0.22448	-0.5415	0.1095	0.342	0	389	200	3
2026-02-19	12:32:21.530	-18.235	-29.085	3.01	0.944036	-0.029524	0.186904	-0.5475	0.102	0.3375	0	389	200	3
2026-02-19	12:32:21.550	-22.995	-39.375	8.82	0.862052	0.078568	0.242536	-0.552	0.1125	0.3375	0	389	200	3
2026-02-19	12:32:21.570	-33.95	-47.25	12.705	0.840336	0.162016	0.240828	-0.555	0.105	0.333	0	389	200	3
2026-02-19	12:32:21.590	-63.14	-52.85	18.62	0.850828	0.207644	0.221796	-0.567	0.1125	0.33	0	389	200	3
2026-02-19	12:32:21.610	-80.92	-57.295	26.95	0.86742	0.196664	0.214964	-0.5625	0.1185	0.336	0	394	200	2
2026-02-19	12:32:21.630	-79.835	-59.955	36.995	0.926712	0.149572	0.266448	-0.5685	0.1275	0.333	0	394	200	2
2026-02-19	12:32:21.650	-55.755	-55.335	49.105	0.97478	0.138104	0.326716	-0.5805	0.132	0.3225	0	394	200	2
2026-02-19	12:32:21.670	-22.47	-50.015	59.5	1.00528	0.187636	0.243756	-0.585	0.1365	0.327	0	394	200	2
2026-02-19	12:32:21.690	7.175	-44.52	65.135	1.001132	0.230824	0.180316	-0.594	0.1425	0.3315	0	394	200	2
2026-02-19	12:32:21.710	26.495	-40.88	70.245	1.1651	-0.261568	-0.020496	-0.603	0.147	0.3375	0	394	200	2
2026-02-19	12:32:21.730	42.035	3.5	48.86	2.624952	2.11914	1.884412	-0.615	0.153	0.345	0	394	200	2
2026-02-19	12:32:21.750	30.87	-36.295	6.09	0.81252	-0.0732	-0.189588	-0.6225	0.1605	0.348	0	394	200	2
2026-02-19	12:32:21.770	-11.48	-23.205	22.785	0.864248	-0.287432	0.077104	-0.6225	0.1605	0.348	0	394	200	2
2026-02-19	12:32:21.790	-51.205	-17.5	45.78	1.18828	-0.044164	0.232776	-0.6315	0.153	0.3675	0	394	200	2
2026-02-19	12:32:21.810	-28.875	-1.75	35.805	0.853756	0.37698	0.607804	-0.6315	0.165	0.3585	0	394	212	3
2026-02-19	12:32:21.830	12.215	-5.53	31.36	0.801052	0.555344	0.709796	-0.636	0.1785	0.363	0	394	212	3
2026-02-19	12:32:21.850	6.825	-12.04	14.7	0.809592	0.425536	0.66978	-0.6315	0.177	0.3585	0	394	212	3
2026-02-19	12:32:21.870	-27.65	-14.42	13.195	0.924272	0.314272	0.73688	-0.639	0.177	0.357	0	394	212	3
2026-02-19	12:32:21.890	-15.435	-9.065	22.365	0.864492	0.256688	0.692228	-0.6375	0.1785	0.3585	0	394	212	3
2026-02-19	12:32:21.910	21.385	0.35	31.15	0.872544	0.306952	0.619272	-0.6495	0.1815	0.3555	0	394	212	3
2026-02-19	12:32:21.930	34.65	2.905	35.455	0.908168	0.307196	0.508984	-0.648	0.1785	0.3555	0	394	212	3
2026-02-19	12:32:21.950	29.75	-3.745	39.2	0.922076	0.3294	0.408212	-0.651	0.177	0.3585	0	394	212	3
2026-02-19	12:32:21.970	25.025	-8.785	42.315	0.84424	0.386984	0.262544	-0.66	0.1815	0.369	0	394	212	3
2026-02-19	12:32:21.990	16.38	-10.325	36.26	0.921588	0.282064	0.03782	-0.666	0.189	0.375	0	394	212	3
