yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:58:15.210	1.295	-0.595	0.245	-0.05734	0.06832	1.007476	-0.483	2.3805	-1.0845	0	3	1034	1
2026-02-12	14:58:15.230	1.295	-0.63	0.21	-0.061	0.05978	1.007964	-0.4995	2.382	-1.0725	0	3	1034	1
2026-02-12	14:58:15.250	1.295	-0.595	0.28	-0.05734	0.063928	1.01138	-0.4905	2.382	-1.0785	0	3	1034	1
2026-02-12	14:58:15.270	1.295	-0.56	0.245	-0.060268	0.066612	1.009672	-0.4935	2.391	-1.0755	0	3	1034	1
2026-02-12	14:58:15.290	1.295	-0.595	0.28	-0.058316	0.063928	1.010892	-0.4965	2.3805	-1.071	0	3	1034	1
2026-02-12	14:58:15.310	1.295	-0.595	0.315	-0.06344	0.064172	1.014064	-0.486	2.3835	-1.0785	0	3	1034	1
2026-02-12	14:58:15.330	1.295	-0.595	0.245	-0.06222	0.062708	1.008208	-0.4965	2.382	-1.0695	0	3	1034	1
2026-02-12	14:58:15.350	1.295	-0.595	0.245	-0.059536	0.066612	1.013332	-0.495	2.3775	-1.068	0	3	1034	1
2026-02-12	14:58:15.370	1.33	-0.595	0.245	-0.060756	0.063684	1.014308	-0.495	2.3835	-1.071	0	3	1034	1
2026-02-12	14:58:15.390	1.26	-0.595	0.28	-0.060756	0.063928	1.013088	-0.504	2.3895	-1.062	0	3	1034	1
2026-02-12	14:58:15.410	1.33	-0.595	0.245	-0.061732	0.062952	1.011624	-0.498	2.388	-1.0605	0	3	1034	1
2026-02-12	14:58:15.430	1.295	-0.56	0.28	-0.061244	0.061488	1.010648	-0.4965	2.3745	-1.065	0	3	1034	1
2026-02-12	14:58:15.450	1.33	-0.595	0.245	-0.060024	0.067588	1.009428	-0.495	2.3865	-1.0845	0	3	1034	1
2026-02-12	14:58:15.470	1.295	-0.595	0.245	-0.05856	0.066124	1.008452	-0.4845	2.382	-1.071	0	3	1034	1
2026-02-12	14:58:15.490	1.33	-0.595	0.28	-0.058316	0.063684	1.006988	-0.4995	2.373	-1.0725	0	3	1034	1
2026-02-12	14:58:15.510	1.26	-0.595	0.28	-0.062464	0.064416	1.008696	-0.4995	2.382	-1.08	0	3	1034	1
2026-02-12	14:58:15.530	1.295	-0.595	0.245	-0.060756	0.06344	1.009184	-0.498	2.3835	-1.0695	0	3	1034	1
2026-02-12	14:58:15.550	1.33	-0.595	0.245	-0.060268	0.066124	1.011136	-0.501	2.3895	-1.0725	0	3	1034	1
2026-02-12	14:58:15.570	1.295	-0.595	0.28	-0.05734	0.066124	1.007232	-0.501	2.382	-1.065	0	3	1034	1
2026-02-12	14:58:15.590	1.295	-0.595	0.315	-0.062708	0.065148	1.011624	-0.4875	2.397	-1.071	0	3	1034	1
2026-02-12	14:58:15.610	1.33	-0.595	0.28	-0.058072	0.066612	1.008208	-0.4905	2.385	-1.08	0	3	1034	1
2026-02-12	14:58:15.630	1.33	-0.595	0.28	-0.061976	0.067588	1.010648	-0.495	2.3805	-1.077	0	3	1034	1
2026-02-12	14:58:15.650	1.33	-0.595	0.28	-0.059048	0.065148	1.013088	-0.4965	2.379	-1.0725	0	3	1034	1
2026-02-12	14:58:15.670	1.33	-0.595	0.245	-0.06222	0.065636	1.008208	-0.501	2.385	-1.077	0	3	1034	1
2026-02-12	14:58:15.690	1.295	-0.63	0.28	-0.058804	0.0671	1.009672	-0.495	2.3865	-1.068	0	3	1034	1
2026-02-12	14:58:15.710	1.295	-0.595	0.28	-0.059292	0.062464	1.00772	-0.489	2.3835	-1.071	0	3	1034	1
2026-02-12	14:58:15.730	1.33	-0.56	0.28	-0.063196	0.061732	1.01016	-0.4935	2.3895	-1.068	0	3	1034	1
2026-02-12	14:58:15.750	1.33	-0.595	0.28	-0.058804	0.063684	1.011868	-0.4935	2.3895	-1.068	0	3	1034	1
2026-02-12	14:58:15.770	1.33	-0.56	0.245	-0.057828	0.065148	1.008696	-0.4965	2.3865	-1.071	0	3	1034	1
2026-02-12	14:58:15.790	1.33	-0.595	0.28	-0.059048	0.064416	1.009428	-0.4995	2.3835	-1.074	0	3	1034	1
2026-02-12	14:58:15.810	1.33	-0.63	0.245	-0.05978	0.066368	1.011624	-0.4965	2.382	-1.071	0	3	1033	1
2026-02-12	14:58:15.830	1.295	-0.595	0.245	-0.058316	0.0671	1.012112	-0.4995	2.382	-1.074	0	3	1033	1
2026-02-12	14:58:15.850	1.33	-0.595	0.245	-0.060268	0.063928	1.008696	-0.4995	2.385	-1.077	0	3	1033	1
2026-02-12	14:58:15.870	1.295	-0.595	0.28	-0.062952	0.066124	1.013088	-0.4935	2.385	-1.0725	0	3	1033	1
2026-02-12	14:58:15.890	1.295	-0.595	0.28	-0.061488	0.062708	1.011624	-0.492	2.382	-1.0725	0	3	1033	1
2026-02-12	14:58:15.910	1.295	-0.595	0.245	-0.059536	0.063928	1.012112	-0.486	2.376	-1.0725	0	3	1033	1
2026-02-12	14:58:15.930	1.295	-0.595	0.28	-0.060512	0.064416	1.009184	-0.489	2.3805	-1.0725	0	3	1033	1
2026-02-12	14:58:15.950	1.33	-0.595	0.245	-0.061244	0.06832	1.009184	-0.4995	2.385	-1.0725	0	3	1033	1
2026-02-12	14:58:15.970	1.26	-0.595	0.28	-0.05856	0.062708	1.006744	-0.5055	2.382	-1.068	0	3	1033	1
2026-02-12	14:58:15.990	1.295	-0.595	0.28	-0.060024	0.063684	1.009428	-0.5055	2.382	-1.068	0	3	1033	1
2026-02-12	14:58:16.010	1.33	-0.56	0.28	-0.05734	0.064904	1.009428	-0.5055	2.382	-1.068	0	3	1033	1
2026-02-12	14:58:16.030	1.295	-0.525	0.28	-0.06344	0.068564	1.008452	-0.5025	2.3865	-1.062	0	3	1033	1
2026-02-12	14:58:16.050	1.295	-0.56	0.315	-0.057828	0.061244	1.008208	-0.501	2.3955	-1.056	0	3	1033	1
2026-02-12	14:58:16.070	1.33	-0.56	0.245	-0.060024	0.068076	1.013576	-0.501	2.3895	-1.0755	0	3	1033	1
2026-02-12	14:58:16.090	1.33	-0.49	0.315	-0.059292	0.067588	1.012356	-0.483	2.382	-1.0755	0	3	1033	1
2026-02-12	14:58:16.110	1.33	-0.49	0.245	-0.061488	0.065636	1.012356	-0.4755	2.3775	-1.0695	0	3	1033	1
2026-02-12	14:58:16.130	1.365	-0.455	0.245	-0.061	0.07564	0.932812	-0.486	2.3805	-1.0725	0	3	1033	1
2026-02-12	14:58:16.150	1.295	-0.525	0.245	-0.057096	0.04392	0.951844	-0.4965	2.385	-1.068	0	3	1033	1
2026-02-12	14:58:16.170	1.295	-0.525	0.245	-0.063684	0.076372	1.005768	-0.4935	2.3775	-1.0665	0	3	1033	1
2026-02-12	14:58:16.190	1.295	-0.63	0.28	-0.059292	0.060512	1.003816	-0.4935	2.3895	-1.0755	0	3	1033	1
2026-02-12	14:58:14.210	1.33	-0.595	0.245	-0.060512	0.068808	1.013332	-0.4965	2.3865	-1.0575	0	4	1033	1
2026-02-12	14:58:14.230	1.295	-0.595	0.28	-0.060756	0.065148	1.01382	-0.4845	2.385	-1.074	0	4	1033	1
2026-02-12	14:58:14.250	1.295	-0.595	0.28	-0.060024	0.06466	1.012844	-0.495	2.379	-1.0725	0	4	1033	1
2026-02-12	14:58:14.270	1.33	-0.56	0.245	-0.061244	0.0671	1.01138	-0.4965	2.373	-1.0695	0	4	1033	1
2026-02-12	14:58:14.290	1.295	-0.63	0.28	-0.05856	0.066368	1.012356	-0.4875	2.385	-1.0635	0	4	1033	1
2026-02-12	14:58:14.310	1.33	-0.595	0.28	-0.05856	0.066368	1.011136	-0.5025	2.373	-1.0785	0	4	1033	1
2026-02-12	14:58:14.330	1.33	-0.63	0.28	-0.059048	0.063928	1.010648	-0.495	2.382	-1.0785	0	4	1033	1
2026-02-12	14:58:14.350	1.365	-0.595	0.28	-0.059292	0.065392	1.010404	-0.4965	2.385	-1.0725	0	4	1033	1
2026-02-12	14:58:14.370	1.33	-0.63	0.28	-0.060512	0.064172	1.014308	-0.4965	2.3835	-1.071	0	4	1033	1
2026-02-12	14:58:14.390	1.295	-0.595	0.245	-0.062708	0.064172	1.009672	-0.4875	2.3865	-1.077	0	4	1033	1
2026-02-12	14:58:14.410	1.295	-0.56	0.245	-0.060268	0.063684	1.014796	-0.4935	2.382	-1.0785	0	4	1033	1
2026-02-12	14:58:14.430	1.295	-0.595	0.245	-0.060024	0.063196	1.01382	-0.4845	2.3865	-1.0755	0	4	1033	1
2026-02-12	14:58:14.450	1.33	-0.595	0.245	-0.058072	0.065392	1.010404	-0.492	2.382	-1.0695	0	4	1033	1
2026-02-12	14:58:14.470	1.295	-0.63	0.245	-0.05734	0.063928	1.01382	-0.495	2.388	-1.0815	0	4	1033	1
2026-02-12	14:58:14.490	1.295	-0.595	0.245	-0.059048	0.063684	1.0126	-0.501	2.3865	-1.0815	0	4	1033	1
2026-02-12	14:58:14.510	1.33	-0.595	0.28	-0.05856	0.06588	1.013332	-0.501	2.3865	-1.0815	0	4	1033	1
2026-02-12	14:58:14.530	1.33	-0.63	0.245	-0.057828	0.069052	1.013576	-0.501	2.3865	-1.0815	0	4	1033	1
2026-02-12	14:58:14.550	1.295	-0.56	0.245	-0.060268	0.06344	1.013332	-0.501	2.3865	-1.0815	0	4	1033	1
2026-02-12	14:58:14.570	1.295	-0.63	0.315	-0.059292	0.066368	1.010648	-0.495	2.382	-1.074	0	4	1033	1
2026-02-12	14:58:14.590	1.295	-0.595	0.315	-0.060268	0.064172	1.013576	-0.4905	2.3805	-1.0695	0	4	1033	1
2026-02-12	14:58:26.610	1.225	-0.735	0.245	-0.060756	0.0671	1.008208	-0.4995	2.3835	-1.0665	0	46	94	2
2026-02-12	14:58:26.630	1.26	-0.945	0.28	-0.06222	0.045384	1.070916	-0.492	2.388	-1.0725	0	46	94	2
2026-02-12	14:58:26.650	1.19	-0.98	0.28	-0.060756	0.07076	1.146068	-0.4935	2.388	-1.0725	0	46	94	2
2026-02-12	14:58:26.670	13.195	-10.85	3.99	-0.060756	0.041236	0.9882	-0.489	2.385	-1.08	0	46	94	2
2026-02-12	14:58:26.690	14.98	-3.885	-1.26	-0.04392	0.015128	0.889624	-0.1485	2.0355	-0.996	0	46	94	2
2026-02-12	14:58:26.710	26.95	-3.255	-2.905	-0.083204	0.063928	0.9089	0.192	1.674	-0.9105	0	46	94	2
2026-02-12	14:58:26.730	39.445	-1.19	-6.65	-0.118584	0.103456	0.942084	0.186	1.6665	-0.909	0	46	94	2
2026-02-12	14:58:26.750	48.02	-2.03	-10.99	-0.11712	0.151036	0.989908	0.1815	1.662	-0.912	0	46	94	2
2026-02-12	14:58:26.770	54.985	-0.7	-15.96	-0.121756	0.200568	0.983564	0.186	1.656	-0.9165	0	46	94	2
2026-02-12	14:58:26.790	57.295	-2.695	-19.285	-0.076372	0.093452	1.097268	0.1875	1.6515	-0.9195	0	46	94	2
2026-02-12	14:58:26.810	45.535	-5.845	-18.585	0.033428	-0.073688	1.20902	0.183	1.6485	-0.9255	0	146	287	2
2026-02-12	14:58:26.830	25.235	-7.175	-13.58	0.06734399	-0.067588	1.147776	0.1815	1.6455	-0.927	0	146	287	2
2026-02-12	14:58:26.850	8.855	-5.88	-7.28	0.143472	0.006344	1.186084	0.1815	1.6455	-0.927	0	146	287	2
2026-02-12	14:58:26.870	-3.045	-2.205	-2.205	0.113704	0.047092	1.269532	0.1815	1.6455	-0.927	0	146	287	2
2026-02-12	14:58:26.890	-14.42	4.41	-1.785	-0.061244	-0.02928	1.101416	0.1815	1.6455	-0.927	0	146	287	2
2026-02-12	14:58:26.910	-24.745	-3.57	-6.65	0.0793	0.06954	1.089948	0.1875	1.6395	-0.93	0	146	287	2
2026-02-12	14:58:26.930	-22.995	-2.205	-15.295	0.102724	-0.03904	1.123132	0.1815	1.6305	-0.9315	0	146	287	2
2026-02-12	14:58:26.950	-14.875	-0.035	-18.865	0.096624	-0.078324	1.113372	0.177	1.644	-0.921	0	146	287	2
2026-02-12	14:58:26.970	-5.88	0.7	-19.53	0.066856	-0.068564	1.039684	0.189	1.6515	-0.921	0	146	287	2
2026-02-12	14:58:26.990	-0.07	-1.855	-18.725	0.046116	-0.036356	1.015772	0.174	1.6485	-0.927	0	146	287	2
2026-02-12	14:58:27.010	5.11	-0.35	-19.04	0.025864	0.009028	1.024312	0.165	1.6515	-0.9075	0	246	484	3
2026-02-12	14:58:27.030	13.615	8.925	-19.53	0.021228	0.050996	0.97722	0.171	1.6515	-0.906	0	246	484	3
2026-02-12	14:58:27.050	23.03	20.895	-19.495	0.0122	0.085156	0.938424	0.1755	1.6425	-0.924	0	246	484	3
2026-02-12	14:58:27.070	27.86	29.12	-19.355	0.007076	0.08686399	0.913048	0.1755	1.6425	-0.924	0	246	484	3
2026-02-12	14:58:27.090	27.475	29.365	-18.095	0.013908	0.079788	0.944768	0.1755	1.638	-0.924	0	246	484	3
2026-02-12	14:58:27.110	25.445	30.45	-16.73	0.015128	0.06832	0.985516	0.177	1.6335	-0.924	0	246	484	3
2026-02-12	14:58:27.130	19.915	30.66	-14.07	0.049776	0.031964	1.053104	0.1815	1.6365	-0.927	0	246	484	3
2026-02-12	14:58:27.150	13.37	30.66	-11.095	0.076372	-0.020252	1.074576	0.186	1.6365	-0.9255	0	246	484	3
2026-02-12	14:58:27.170	3.465	30.065	-6.3	0.058316	0.009028	1.034804	0.189	1.6365	-0.9285	0	246	484	3
2026-02-12	14:58:27.190	-6.195	26.915	-2.1	0.013664	0.066124	0.977952	0.1935	1.6395	-0.936	0	246	484	3
2026-02-12	14:58:27.210	-14.84	21	-0.14	-0.016836	0.115412	0.933544	0.1995	1.641	-0.933	0	318	637	1
2026-02-12	14:58:27.230	-20.23	14.84	0	-0.027816	0.129564	0.915976	0.204	1.6425	-0.927	0	318	637	1
2026-02-12	14:58:27.250	-20.545	10.815	-1.4	-0.04026	0.133224	0.919636	0.2085	1.6395	-0.921	0	318	637	1
2026-02-12	14:58:27.270	-16.975	9.555	-4.62	-0.076372	0.145912	0.912804	0.207	1.641	-0.9195	0	318	637	1
2026-02-12	14:58:27.290	-12.39	7.595	-8.96	-0.095648	0.142252	0.884012	0.207	1.644	-0.9195	0	318	637	1
2026-02-12	14:58:27.310	-8.855	2.87	-13.545	-0.10736	0.128832	0.871568	0.213	1.647	-0.915	0	318	637	1
2026-02-12	14:58:27.330	-7.035	-4.97	-17.22	-0.0854	0.091988	0.91378	0.2085	1.65	-0.9165	0	318	637	1
2026-02-12	14:58:27.350	-4.83	-10.745	-19.775	-0.065392	0.062464	0.936472	0.207	1.6545	-0.9195	0	318	637	1
2026-02-12	14:58:27.370	-1.575	-14.7	-20.79	-0.057584	0.040748	0.9699	0.207	1.6545	-0.915	0	318	637	1
2026-02-12	14:58:27.390	1.19	-18.305	-20.685	-0.055632	0.030744	0.99796	0.204	1.6515	-0.9165	0	318	637	1
2026-02-12	14:58:27.410	2.625	-21.28	-19.6	-0.072956	-0.002196	1.055788	0.1995	1.6545	-0.918	0	357	741	1
2026-02-12	14:58:27.430	3.36	-12.215	-14.455	-0.083448	-0.033184	1.05164	0.1965	1.653	-0.9135	0	357	741	1
2026-02-12	14:58:27.450	-1.505	-2.555	-6.37	-0.094916	-0.02806	0.9821	0.198	1.647	-0.912	0	357	741	1
2026-02-12	14:58:27.470	-12.355	-6.02	-0.385	-0.045872	-0.032696	1.002352	0.2055	1.6545	-0.918	0	357	741	1
2026-02-12	14:58:27.490	-17.885	-10.045	3.08	0.04636	-0.06344	1.093364	0.2025	1.6605	-0.918	0	357	741	1
2026-02-12	14:58:27.510	-13.475	-6.72	4.62	0.047092	-0.05002	1.064328	0.195	1.662	-0.912	0	357	741	1
2026-02-12	14:58:27.530	-6.125	-6.23	4.2	0.005856	-0.006344	0.998936	0.189	1.6635	-0.9105	0	357	741	1
2026-02-12	14:58:27.550	-1.575	-12.985	1.89	-0.008296	-0.012932	0.961848	0.183	1.6635	-0.9105	0	357	741	1
2026-02-12	14:58:27.570	-0.455	-21.805	-0.56	0.016104	-0.072712	1.03212	0.186	1.665	-0.912	0	357	741	1
2026-02-12	14:58:27.590	-1.925	-25.27	-1.61	0.058804	-0.145912	1.140212	0.183	1.6605	-0.9135	0	357	741	1
2026-02-12	14:58:27.610	-5.67	-22.05	-1.715	0.055144	-0.168848	1.155828	0.1815	1.659	-0.912	0	368	816	1
2026-02-12	14:58:27.630	-11.025	-18.095	-2.52	0.022448	-0.110532	1.08824	0.1815	1.662	-0.9075	0	368	816	1
2026-02-12	14:58:27.650	-14.105	-16.38	-4.55	0.005612	-0.040016	1.00894	0.18	1.665	-0.8985	0	368	816	1
2026-02-12	14:58:27.670	-12.6	-15.12	-6.125	0.022448	-0.017324	0.97356	0.1755	1.671	-0.9	0	368	816	1
2026-02-12	14:58:27.690	-7.63	-8.925	-4.83	0.04026	-0.029768	0.970632	0.1695	1.674	-0.9105	0	368	816	1
2026-02-12	14:58:27.710	-2.485	-3.535	-0.21	0.040748	-0.051728	0.985028	0.1695	1.668	-0.9135	0	368	816	1
2026-02-12	14:58:27.730	0.595	0.21	4.935	0.020496	-0.090036	1.019676	0.171	1.6635	-0.9075	0	368	816	1
2026-02-12	14:58:27.750	1.295	0.385	8.295	0.002196	-0.11712	1.045052	0.171	1.668	-0.9075	0	368	816	1
2026-02-12	14:58:27.770	0.315	0.98	8.82	-0.008052	-0.134688	1.056276	0.171	1.6695	-0.9075	0	368	816	1
2026-02-12	14:58:27.790	-2.205	-1.12	7.945	-0.005612	-0.127124	1.04188	0.174	1.665	-0.9075	0	368	816	1
2026-02-12	14:58:27.810	-5.215	-5.67	6.825	-0.019032	-0.09076799	1.006256	0.1695	1.6635	-0.9075	0	359	875	1
2026-02-12	14:58:27.830	-6.335	-11.025	5.215	-0.017324	-0.057828	0.979416	0.1725	1.6695	-0.9105	0	359	875	1
2026-02-12	14:58:27.850	-4.445	-14.735	3.325	-0.01952	-0.027572	0.953308	0.1755	1.6725	-0.9105	0	359	875	1
2026-02-12	14:58:27.870	-0.455	-15.75	1.505	-0.023424	-0.010736	0.939156	0.1725	1.6695	-0.9075	0	359	875	1
2026-02-12	14:58:27.890	3.64	-15.19	-0.21	-0.035136	0.000488	0.935008	0.171	1.674	-0.909	0	359	875	1
2026-02-12	14:58:27.910	6.475	-13.86	-1.715	-0.053436	0.011956	0.92232	0.168	1.677	-0.909	0	359	875	1
2026-02-12	14:58:27.930	7.245	-13.72	-2.87	-0.062708	0.006832	0.930372	0.1635	1.677	-0.9105	0	359	875	1
2026-02-12	14:58:27.950	6.79	-13.72	-3.5	-0.058804	0.003172	0.969168	0.1575	1.6725	-0.9105	0	359	875	1
2026-02-12	14:58:27.970	6.545	-12.25	-3.64	-0.055144	0.000244	0.99918	0.1575	1.668	-0.906	0	359	875	1
2026-02-12	14:58:27.990	6.65	-9.87	-3.92	-0.056852	0.006588	1.015528	0.1575	1.6695	-0.906	0	359	875	1
2026-02-12	14:58:28.010	5.705	-9.135	-4.27	-0.047336	-0.000732	1.036268	0.1545	1.665	-0.9105	0	336	916	1
2026-02-12	14:58:28.030	3.99	-8.295	-4.935	-0.030256	0.005612	1.046272	0.1575	1.662	-0.915	0	336	916	1
2026-02-12	14:58:28.050	2.45	-7.49	-5.46	-0.0183	0.012444	1.051396	0.159	1.665	-0.918	0	336	916	1
2026-02-12	14:58:28.070	2.205	-6.51	-6.265	-0.006588	0.024644	1.040416	0.1575	1.665	-0.9165	0	336	916	1
2026-02-12	14:58:28.090	2.905	-6.65	-7.735	0.004148	0.036112	1.037	0.1575	1.665	-0.915	0	336	916	1
2026-02-12	14:58:28.110	4.27	-7.42	-9.625	0.037576	0.028792	1.0553	0.159	1.665	-0.915	0	336	916	1
2026-02-12	14:58:28.130	6.545	-7.455	-12.04	0.064172	-0.00366	1.064084	0.159	1.665	-0.9135	0	336	916	1
2026-02-12	14:58:28.150	8.365	-7.42	-14.56	0.08295999	-0.03538	1.060912	0.159	1.665	-0.9135	0	336	916	1
2026-02-12	14:58:28.170	8.295	-7.385	-16.695	0.084912	-0.064172	1.054324	0.159	1.665	-0.9135	0	336	916	1
2026-02-12	14:58:28.190	7.455	-7.07	-17.57	0.083692	-0.076128	1.054812	0.159	1.665	-0.9135	0	336	916	1
2026-02-12	14:58:28.210	4.375	-5.32	-19.075	0.085156	-0.0854	1.064572	0.135	1.6665	-0.9105	0	305	948	1
2026-02-12	14:58:28.230	0.21	-3.08	-20.37	0.091012	-0.078324	1.073112	0.1455	1.665	-0.9015	0	305	948	1
2026-02-12	14:58:28.250	-4.445	-1.75	-21.49	0.115412	-0.063684	1.09068	0.1395	1.665	-0.903	0	305	948	1
2026-02-12	14:58:28.270	-8.82	-1.435	-22.225	0.158844	-0.056852	1.108492	0.15	1.6605	-0.915	0	305	948	1
2026-02-12	14:58:28.290	-12.46	-1.68	-22.4	0.187148	-0.0488	1.10044	0.1455	1.6605	-0.918	0	305	948	1
2026-02-12	14:58:28.310	-16.03	-2.835	-21.98	0.177876	-0.048556	1.079212	0.1365	1.6665	-0.912	0	305	948	1
2026-02-12	14:58:28.330	-19.495	-3.36	-21.63	0.143716	-0.040748	1.030656	0.1365	1.6665	-0.912	0	305	948	1
2026-02-12	14:58:28.350	-21.035	-0.665	-22.12	0.110288	-0.005368	0.97234	0.1365	1.6665	-0.912	0	305	948	1
2026-02-12	14:58:28.370	-19.565	5.635	-24.57	0.093208	0.013664	0.9272	0.138	1.6725	-0.912	0	305	948	1
2026-02-12	14:58:28.390	-15.61	9.905	-28.105	0.117852	0.009272	0.917196	0.1395	1.6755	-0.9105	0	305	948	1
2026-02-12	14:58:28.410	-10.08	12.215	-30.905	0.147132	-0.019032	0.925248	0.138	1.6785	-0.9015	0	274	976	1
2026-02-12	14:58:28.430	-4.62	13.44	-32.06	0.15372	-0.033916	0.945744	0.1335	1.6845	-0.8955	0	274	976	1
2026-02-12	14:58:28.450	-0.42	12.95	-31.29	0.152988	-0.064904	0.96868	0.1275	1.6845	-0.894	0	274	976	1
2026-02-12	14:58:28.470	1.715	11.9	-29.295	0.132736	-0.089792	0.992348	0.129	1.683	-0.894	0	274	976	1
2026-02-12	14:58:28.490	0.875	9.065	-27.405	0.123952	-0.08784	1.01016	0.132	1.6845	-0.891	0	274	976	1
2026-02-12	14:58:28.510	-1.61	5.075	-25.515	0.120292	-0.08052	1.008208	0.132	1.686	-0.891	0	274	976	1
2026-02-12	14:58:28.530	-3.185	2.17	-23.765	0.107848	-0.052948	0.9882	0.135	1.6845	-0.8925	0	274	976	1
2026-02-12	14:58:28.550	-2.87	1.05	-22.365	0.08906	-0.017812	0.960384	0.1365	1.6875	-0.8955	0	274	976	1
2026-02-12	14:58:28.570	-1.47	-0.07	-21.315	0.07905599	0.007564	0.947208	0.1365	1.683	-0.903	0	274	976	1
2026-02-12	14:58:28.590	0.245	-0.315	-20.475	0.07442	0.010248	0.953308	0.135	1.6815	-0.897	0	274	976	1
2026-02-12	14:58:28.610	1.68	0.245	-19.775	0.06222	0.0122	0.955748	0.1305	1.6875	-0.894	0	244	992	1
2026-02-12	14:58:28.630	2.38	1.96	-19.46	0.04758	0.013908	0.958432	0.141	1.6905	-0.8985	0	244	992	1
2026-02-12	14:58:28.650	2.205	3.64	-19.32	0.034892	0.022204	0.966972	0.138	1.692	-0.8955	0	244	992	1
2026-02-12	14:58:28.670	1.435	4.795	-18.62	0.039528	0.0122	0.9821	0.1185	1.6875	-0.888	0	244	992	1
2026-02-12	14:58:28.690	0.945	6.965	-17.255	0.038308	0.006344	0.992592	0.114	1.683	-0.8865	0	244	992	1
2026-02-12	14:58:28.710	0.84	8.785	-15.575	0.041236	-0.002196	1.006012	0.1185	1.68	-0.894	0	244	992	1
2026-02-12	14:58:28.730	1.015	9.8	-13.965	0.055144	-0.013176	1.026508	0.138	1.6785	-0.9015	0	244	992	1
2026-02-12	14:58:28.750	0.665	9.905	-12.46	0.058316	-0.041968	1.032852	0.138	1.6875	-0.894	0	244	992	1
2026-02-12	14:58:28.770	-1.33	6.93	-11.34	0.072712	-0.0793	1.05042	0.1275	1.692	-0.8865	0	244	992	1
2026-02-12	14:58:28.790	-3.955	3.885	-10.185	0.095404	-0.109312	1.058716	0.126	1.6845	-0.888	0	244	992	1
2026-02-12	14:58:28.810	-4.865	1.295	-8.925	0.09028	-0.103944	1.03944	0.126	1.6815	-0.8925	0	218	999	1
2026-02-12	14:58:28.830	-3.255	-1.365	-8.505	0.076128	-0.10126	1.015284	0.129	1.6905	-0.8925	0	218	999	1
2026-02-12	14:58:28.850	-0.735	-4.83	-8.82	0.087596	-0.132004	1.023092	0.1185	1.689	-0.885	0	218	999	1
2026-02-12	14:58:28.870	0.455	-8.365	-8.155	0.116144	-0.182756	1.064572	0.1185	1.6815	-0.882	0	218	999	1
2026-02-12	14:58:28.890	-1.295	-11.27	-6.44	0.1281	-0.227652	1.11264	0.1275	1.6875	-0.888	0	218	999	1
2026-02-12	14:58:28.910	-6.335	-14.315	-4.2	0.127124	-0.24156	1.140456	0.138	1.6875	-0.8985	0	218	999	1
2026-02-12	14:58:28.930	-12.985	-15.365	-2.415	0.106628	-0.213012	1.111664	0.1365	1.6845	-0.8985	0	218	999	1
2026-02-12	14:58:28.950	-17.675	-15.33	-0.945	0.075884	-0.157136	1.042124	0.1185	1.6875	-0.8865	0	218	999	1
2026-02-12	14:58:28.970	-18.025	-13.44	-0.28	0.055144	-0.122	0.970144	0.1065	1.692	-0.8805	0	218	999	1
2026-02-12	14:58:28.990	-14.105	-8.61	-0.28	0.034892	-0.110044	0.900116	0.102	1.695	-0.876	0	218	999	1
2026-02-12	14:58:29.010	-7.455	-5.53	-0.42	0.03538	-0.138836	0.902068	0.1005	1.692	-0.873	0	195	1008	1
2026-02-12	14:58:29.030	0.21	-1.015	-0.91	0.042456	-0.189344	0.927932	0.105	1.695	-0.873	0	195	1008	1
2026-02-12	14:58:29.050	5.915	1.05	-0.49	0.054412	-0.235948	0.950868	0.1035	1.6965	-0.873	0	195	1008	1
2026-02-12	14:58:29.070	7.98	0.35	1.4	0.066368	-0.268156	0.998692	0.102	1.6935	-0.8805	0	195	1008	1
2026-02-12	14:58:29.090	7.07	-2.8	3.99	0.064416	-0.25742	1.00772	0.111	1.689	-0.8895	0	195	1008	1
2026-02-12	14:58:29.110	4.55	-8.05	6.58	0.063196	-0.23546	0.986492	0.111	1.6875	-0.8865	0	195	1008	1
2026-02-12	14:58:29.130	3.045	-12.845	9.59	0.058072	-0.18178	0.98332	0.111	1.686	-0.879	0	195	1008	1
2026-02-12	14:58:29.150	4.095	-14.14	11.34	0.040016	-0.127124	0.96136	0.1125	1.6815	-0.8805	0	195	1008	1
2026-02-12	14:58:29.170	6.86	-13.44	11.83	0.011468	-0.082228	0.926956	0.108	1.68	-0.8865	0	195	1008	1
2026-02-12	14:58:29.190	9.66	-12.565	11.305	-0.011224	-0.049044	0.913048	0.108	1.6815	-0.891	0	195	1008	1
2026-02-12	14:58:29.210	11.935	-10.57	10.185	-0.022692	-0.041968	0.923052	0.108	1.6815	-0.891	0	178	1012	1
2026-02-12	14:58:29.230	13.3	-7.315	8.925	-0.024644	-0.046604	0.952576	0.102	1.671	-0.8925	0	178	1012	1
2026-02-12	14:58:29.250	13.335	-5.635	8.365	-0.026352	-0.048312	0.973804	0.102	1.671	-0.8925	0	178	1012	1
2026-02-12	14:58:29.270	12.11	-3.325	7.595	-0.027328	-0.057584	1.002352	0.0975	1.683	-0.8925	0	178	1012	1
2026-02-12	14:58:29.290	9.45	-1.295	7.14	-0.017812	-0.069296	1.034072	0.102	1.671	-0.894	0	178	1012	1
