yyyy-MM-dd	HH:mm:ss.fff	gyrX	gyrY	gyrZ	accX	accY	accZ	magX	magY	magZ	Marker	Energy	Angle	Classification
2026-02-12	14:41:31.210	-102.41	79.1	191.345	1.036268	-0.358192	0.267424	0.0135	0.723	0.078	0	280	276	3
2026-02-12	14:41:31.230	-75.915	73.29	181.195	0.888892	-0.245464	0.246928	0.0135	0.723	0.078	0	280	276	3
2026-02-12	14:41:31.250	-75.39	65.345	167.335	0.784216	-0.171776	0.220088	0.0345	0.819	0.045	0	280	276	3
2026-02-12	14:41:31.270	-86.45	56.28	148.61	0.6954	-0.149572	0.206668	0.039	0.8415	0.039	0	280	276	3
2026-02-12	14:41:31.290	-100.66	47.04	126.49	0.638792	-0.158112	0.194956	0.063	0.882	0.0285	0	280	276	3
2026-02-12	14:41:31.310	-108.71	37.94	102.515	0.596092	-0.190564	0.180804	0.069	0.897	0.033	0	280	276	3
2026-02-12	14:41:31.330	-110.04	29.96	75.95	0.550464	-0.188856	0.161528	0.078	0.921	0.0345	0	280	276	3
2026-02-12	14:41:31.350	-105.77	22.295	47.985	0.505568	-0.19154	0.132248	0.093	0.936	0.0465	0	280	276	3
2026-02-12	14:41:31.370	-93.31	13.755	17.955	0.504104	-0.205204	0.10492	0.0915	0.942	0.0465	0	280	276	3
2026-02-12	14:41:31.390	-69.965	5.74	-13.405	0.52094	-0.230336	0.101016	0.093	0.9435	0.06	0	280	276	3
2026-02-12	14:41:31.410	-39.69	-1.68	-44.415	0.522404	-0.235704	0.093208	0.0885	0.9465	0.063	0	297	294	2
2026-02-12	14:41:31.430	5.145	-15.225	-90.685	0.522892	-0.22448	0.089792	0.084	0.9495	0.066	0	297	294	2
2026-02-12	14:41:31.450	29.82	-28.315	-120.505	0.53436	-0.24522	0.089548	0.081	0.9285	0.069	0	297	294	2
2026-02-12	14:41:31.470	60.55	-45.675	-148.225	0.5917	-0.301828	0.174704	0.0705	0.915	0.0705	0	297	294	2
2026-02-12	14:41:31.490	101.57	-61.145	-174.93	0.711016	-0.327692	0.287188	0.0585	0.891	0.066	0	297	294	2
2026-02-12	14:41:31.510	125.125	-71.75	-196.42	0.880108	-0.335988	0.410652	0.051	0.8625	0.0705	0	297	294	2
2026-02-12	14:41:31.530	107.485	-76.545	-207.55	1.05164	-0.43066	0.449936	0.036	0.8295	0.0795	0	297	294	2
2026-02-12	14:41:31.550	87.08	-76.475	-213.115	1.159732	-0.50752	0.445544	0.0225	0.7965	0.0855	0	297	294	2
2026-02-12	14:41:31.570	91.805	-72.555	-216.58	1.2444	-0.587064	0.399916	0.009	0.753	0.0915	0	297	294	2
2026-02-12	14:41:31.590	127.925	-66.465	-216.825	1.325164	-0.631228	0.361852	0.015	0.723	0.1035	0	297	294	2
2026-02-12	14:41:31.610	164.57	-58.695	-209.02	1.331996	-0.630984	0.310124	0.009	0.7065	0.1095	0	311	292	3
2026-02-12	14:41:31.630	213.78	-50.575	-184.345	1.29564	-0.647088	0.336964	0.009	0.666	0.123	0	311	292	3
2026-02-12	14:41:31.650	232.015	-42.14	-143.36	1.222684	-0.568764	0.366732	0.015	0.6435	0.129	0	311	292	3
2026-02-12	14:41:31.670	217.665	-35.7	-101.885	1.163636	-0.584136	0.388448	0.0225	0.597	0.1515	0	311	292	3
2026-02-12	14:41:31.690	219.87	-27.895	-58.87	1.119716	-0.47092	0.492148	0.015	0.5865	0.159	0	311	292	3
2026-02-12	14:41:31.710	208.18	-15.96	-18.2	1.095804	-0.165188	0.626104	0.03	0.5685	0.174	0	311	292	3
2026-02-12	14:41:31.730	149.45	1.785	14.665	1.066036	0.101504	0.683444	0.0225	0.573	0.1845	0	311	292	3
2026-02-12	14:41:31.750	41.125	20.195	38.71	1.030168	0.134688	0.645624	0.033	0.5745	0.186	0	311	292	3
2026-02-12	14:41:31.770	-62.51	35.315	58.625	1.041392	-0.096624	0.587552	0.027	0.576	0.1815	0	311	292	3
2026-02-12	14:41:31.790	-127.82	46.97	79.415	1.06628	-0.265228	0.525576	0.009	0.5925	0.174	0	311	292	3
2026-02-12	14:41:31.810	-159.25	56.315	98.805	1.05652	-0.349408	0.467992	0.0075	0.6	0.165	0	322	306	3
2026-02-12	14:41:31.830	-167.3	60.585	115.08	1.078968	-0.349408	0.420168	0.0105	0.6135	0.1635	0	322	306	3
2026-02-12	14:41:31.850	-169.82	62.3	130.62	1.060424	-0.364292	0.346724	0.015	0.627	0.162	0	322	306	3
2026-02-12	14:41:31.870	-153.58	60.9	141.33	1.052372	-0.441884	0.305488	0.015	0.627	0.162	0	322	306	3
2026-02-12	14:41:31.890	-117.495	57.785	146.16	1.089704	-0.43676	0.300364	0.006	0.6735	0.1245	0	322	306	3
2026-02-12	14:41:31.910	-82.32	56.105	147.84	1.085068	-0.388448	0.286944	0.006	0.6945	0.105	0	322	306	3
2026-02-12	14:41:31.930	-54.705	56.595	146.3	1.019676	-0.33428	0.270108	0.0045	0.7245	0.105	0	322	306	3
2026-02-12	14:41:31.950	-32.305	54.18	141.925	0.96502	-0.277184	0.267424	0.012	0.753	0.093	0	322	306	3
2026-02-12	14:41:31.970	-17.29	51.555	133.28	0.932568	-0.215208	0.267668	0.009	0.774	0.093	0	322	306	3
2026-02-12	14:41:31.990	-13.545	48.965	121.45	0.874008	-0.158356	0.240828	0.027	0.8025	0.078	0	322	306	3
2026-02-12	14:41:32.010	-20.44	42.525	103.11	0.790072	-0.128344	0.212524	0.027	0.8025	0.078	0	328	327	3
2026-02-12	14:41:32.030	-24.01	36.785	89.95	0.76128	-0.129564	0.204472	0.0285	0.8175	0.0735	0	328	327	3
2026-02-12	14:41:32.050	-26.845	28.595	70.56	0.743468	-0.135176	0.189588	0.036	0.843	0.066	0	328	327	3
2026-02-12	14:41:32.070	-31.115	15.225	40.215	0.699304	-0.15006	0.15738	0.0435	0.8535	0.0615	0	328	327	3
2026-02-12	14:41:32.090	-28.245	4.865	19.355	0.679052	-0.174948	0.161528	0.0435	0.867	0.0615	0	328	327	3
2026-02-12	14:41:32.110	-15.54	-4.48	-2.415	0.669292	-0.195444	0.19764	0.048	0.876	0.054	0	328	327	3
2026-02-12	14:41:32.130	1.435	-12.145	-25.025	0.675148	-0.18178	0.230336	0.051	0.867	0.0615	0	328	327	3
2026-02-12	14:41:32.150	14.875	-18.9	-47.88	0.665144	-0.1708	0.216916	0.039	0.873	0.0615	0	328	327	3
2026-02-12	14:41:32.170	21.77	-27.23	-70.7	0.674172	-0.175924	0.20496	0.036	0.87	0.0585	0	328	327	3
2026-02-12	14:41:32.190	25.655	-36.715	-93.1	0.707112	-0.201788	0.207644	0.039	0.846	0.0615	0	328	327	3
2026-02-12	14:41:30.210	237.65	-26.145	-110.25	1.204384	-0.941352	0.456036	0.0135	0.636	0.117	0	201	284	3
2026-02-12	14:41:30.230	239.995	-16.17	-61.215	1.136552	-0.608292	0.457256	0.0135	0.612	0.126	0	201	284	3
2026-02-12	14:41:30.250	177.73	-5.39	-18.2	1.048224	-0.35502	0.437248	0.021	0.6075	0.1305	0	201	284	3
2026-02-12	14:41:30.270	100.345	4.235	13.685	0.993568	-0.389668	0.417972	0.0075	0.6	0.1335	0	201	284	3
2026-02-12	14:41:30.290	38.43	11.025	42.035	0.996252	-0.401624	0.404064	0.009	0.5985	0.1365	0	201	284	3
2026-02-12	14:41:30.310	-23.415	18.34	67.445	1.029924	-0.467016	0.364536	0.012	0.6075	0.1425	0	201	284	3
2026-02-12	14:41:30.330	-66.99	25.55	91.63	1.08946	-0.563884	0.346724	0.0105	0.6255	0.141	0	201	284	3
2026-02-12	14:41:30.350	-94.92	32.795	123.2	1.151436	-0.597556	0.335012	0.0045	0.63	0.135	0	201	284	3
2026-02-12	14:41:30.370	-105.945	39.27	153.545	1.255624	-0.616832	0.370636	0	0.636	0.129	0	201	284	3
2026-02-12	14:41:30.390	-110.81	47.985	176.015	1.272216	-0.602436	0.386252	0.0075	0.6765	0.123	0	201	284	3
2026-02-12	14:41:30.410	-112.07	54.285	195.23	1.302228	-0.598044	0.343796	0.0075	0.702	0.1125	0	212	271	3
2026-02-12	14:41:30.430	-108.08	58.59	210.56	1.18584	-0.583892	0.254248	0.009	0.7425	0.1095	0	212	271	3
2026-02-12	14:41:30.450	-94.745	54.95	219.135	1.076528	-0.532652	0.210572	0.009	0.7635	0.108	0	212	271	3
2026-02-12	14:41:30.470	-72.555	47.845	218.715	1.000156	-0.431636	0.227652	0.024	0.7965	0.0945	0	212	271	3
2026-02-12	14:41:30.490	-51.73	43.925	209.16	0.88816	-0.306708	0.22814	0.0255	0.849	0.099	0	212	271	3
2026-02-12	14:41:30.510	-41.405	40.005	191.765	0.748104	-0.182268	0.190564	0.0495	0.876	0.0885	0	212	271	3
2026-02-12	14:41:30.530	-42.14	33.74	168.035	0.631716	-0.161528	0.170312	0.0615	0.909	0.0885	0	212	271	3
2026-02-12	14:41:30.550	-37.765	27.93	139.685	0.596092	-0.219356	0.22204	0.069	0.924	0.087	0	212	271	3
2026-02-12	14:41:30.570	-34.895	26.145	102.2	0.569008	-0.223748	0.205204	0.0765	0.9405	0.0855	0	212	271	3
2026-02-12	14:41:30.590	-49.42	24.15	64.89	0.512888	-0.198616	0.127368	0.0765	0.9405	0.0855	0	212	271	3
2026-02-12	14:41:30.610	-64.085	19.145	32.97	0.502152	-0.195444	0.0854	0.1185	0.975	0.093	0	226	271	3
2026-02-12	14:41:30.630	-60.095	14.595	-1.785	0.527772	-0.2074	0.067588	0.126	0.987	0.093	0	226	271	3
2026-02-12	14:41:30.650	-41.72	12.985	-36.33	0.522404	-0.206668	0.061244	0.12	0.9885	0.1005	0	226	271	3
2026-02-12	14:41:30.670	-31.115	10.78	-66.745	0.544608	-0.216428	0.058072	0.123	0.9765	0.1065	0	226	271	3
2026-02-12	14:41:30.690	-33.6	7.98	-94.185	0.554856	-0.26962	0.049288	0.1065	0.984	0.0975	0	226	271	3
2026-02-12	14:41:30.710	-29.47	3.955	-121.8	0.587552	-0.316224	0.086132	0.102	0.972	0.102	0	226	271	3
2026-02-12	14:41:30.730	-17.71	1.96	-148.995	0.627324	-0.345748	0.13176	0.081	0.9465	0.1095	0	226	271	3
2026-02-12	14:41:30.750	-1.225	1.4	-175.84	0.679052	-0.354776	0.146644	0.078	0.9285	0.111	0	226	271	3
2026-02-12	14:41:30.770	21.245	-0.49	-202.895	0.771284	-0.374296	0.144204	0.072	0.9165	0.108	0	226	271	3
2026-02-12	14:41:30.790	65.03	-7.21	-241.815	0.972828	-0.468236	0.171288	0.0675	0.9045	0.105	0	226	271	3
2026-02-12	14:41:30.810	98.98	-13.755	-261.415	1.128744	-0.582428	0.241804	0.0315	0.828	0.102	0	242	258	3
2026-02-12	14:41:30.830	124.845	-18.865	-269.535	1.289296	-0.770796	0.36844	0.0225	0.7815	0.093	0	242	258	3
2026-02-12	14:41:30.850	145.425	-21.84	-260.365	1.420812	-0.930128	0.42822	0.0165	0.7395	0.105	0	242	258	3
2026-02-12	14:41:30.870	167.44	-21.875	-238.21	1.444724	-1.022116	0.398696	0.012	0.702	0.096	0	242	258	3
2026-02-12	14:41:30.890	226.975	-22.75	-208.11	1.37372	-1.025776	0.31476	0.006	0.6525	0.096	0	242	258	3
2026-02-12	14:41:30.910	304.85	-25.585	-167.685	1.29198	-0.96868	0.283528	0.0165	0.627	0.105	0	242	258	3
2026-02-12	14:41:30.930	385.525	-24.43	-118.93	1.193648	-0.799344	0.2684	0.0165	0.594	0.126	0	242	258	3
2026-02-12	14:41:30.950	436.835	-19.775	-69.615	1.100196	-0.4575	0.303292	0.0195	0.5715	0.132	0	242	258	3
2026-02-12	14:41:30.970	411.95	-11.13	-29.435	1.037	-0.088572	0.38308	0.0225	0.567	0.1425	0	242	258	3
2026-02-12	14:41:30.990	307.93	-0.35	-1.12	1.021384	0.020008	0.410652	0.0285	0.5625	0.1635	0	242	258	3
2026-02-12	14:41:31.010	161.84	18.69	22.96	1.11996	0.216184	0.633424	0.03	0.5625	0.1755	0	260	252	3
2026-02-12	14:41:31.030	48.23	40.495	32.305	1.035048	0.300364	0.628788	0.021	0.5805	0.189	0	260	252	3
2026-02-12	14:41:31.050	-87.465	59.29	46.795	1.000888	0.120536	0.591944	0.0165	0.5955	0.1815	0	260	252	3
2026-02-12	14:41:31.070	-202.125	73.22	67.62	1.039196	-0.081008	0.538752	0.018	0.591	0.18	0	260	252	3
2026-02-12	14:41:31.090	-256.095	83.755	93.59	1.128988	-0.338672	0.55388	0.0225	0.5985	0.1575	0	260	252	3
2026-02-12	14:41:31.110	-254.275	91.875	121.24	1.173884	-0.438712	0.528992	0.018	0.612	0.1335	0	260	252	3
2026-02-12	14:41:31.130	-238.315	97.685	147.105	1.142896	-0.456036	0.453108	0.009	0.63	0.12	0	260	252	3
2026-02-12	14:41:31.150	-207.83	95.9	168.455	1.140944	-0.496296	0.403332	0.0045	0.657	0.0945	0	260	252	3
2026-02-12	14:41:31.170	-172.305	90.86	184.905	1.160708	-0.485316	0.363804	0.009	0.6885	0.084	0	260	252	3
2026-02-12	14:41:31.190	-138.425	86.275	192.92	1.120936	-0.440664	0.297436	0.0105	0.705	0.081	0	260	252	3
2026-02-12	14:41:31.210	-102.41	79.1	191.345	1.036268	-0.358192	0.267424	0.0135	0.723	0.078	0	280	276	3
2026-02-12	14:41:31.230	-75.915	73.29	181.195	0.888892	-0.245464	0.246928	0.0135	0.723	0.078	0	280	276	3
2026-02-12	14:41:31.250	-75.39	65.345	167.335	0.784216	-0.171776	0.220088	0.0345	0.819	0.045	0	280	276	3
2026-02-12	14:41:31.270	-86.45	56.28	148.61	0.6954	-0.149572	0.206668	0.039	0.8415	0.039	0	280	276	3
2026-02-12	14:41:31.290	-100.66	47.04	126.49	0.638792	-0.158112	0.194956	0.063	0.882	0.0285	0	280	276	3
2026-02-12	14:41:31.310	-108.71	37.94	102.515	0.596092	-0.190564	0.180804	0.069	0.897	0.033	0	280	276	3
2026-02-12	14:41:31.330	-110.04	29.96	75.95	0.550464	-0.188856	0.161528	0.078	0.921	0.0345	0	280	276	3
2026-02-12	14:41:31.350	-105.77	22.295	47.985	0.505568	-0.19154	0.132248	0.093	0.936	0.0465	0	280	276	3
2026-02-12	14:41:31.370	-93.31	13.755	17.955	0.504104	-0.205204	0.10492	0.0915	0.942	0.0465	0	280	276	3
2026-02-12	14:41:31.390	-69.965	5.74	-13.405	0.52094	-0.230336	0.101016	0.093	0.9435	0.06	0	280	276	3
2026-02-12	14:41:31.410	-39.69	-1.68	-44.415	0.522404	-0.235704	0.093208	0.0885	0.9465	0.063	0	297	294	2
2026-02-12	14:41:31.430	5.145	-15.225	-90.685	0.522892	-0.22448	0.089792	0.084	0.9495	0.066	0	297	294	2
2026-02-12	14:41:31.450	29.82	-28.315	-120.505	0.53436	-0.24522	0.089548	0.081	0.9285	0.069	0	297	294	2
2026-02-12	14:41:31.470	60.55	-45.675	-148.225	0.5917	-0.301828	0.174704	0.0705	0.915	0.0705	0	297	294	2
2026-02-12	14:41:31.490	101.57	-61.145	-174.93	0.711016	-0.327692	0.287188	0.0585	0.891	0.066	0	297	294	2
2026-02-12	14:41:31.510	125.125	-71.75	-196.42	0.880108	-0.335988	0.410652	0.051	0.8625	0.0705	0	297	294	2
2026-02-12	14:41:31.530	107.485	-76.545	-207.55	1.05164	-0.43066	0.449936	0.036	0.8295	0.0795	0	297	294	2
2026-02-12	14:41:31.550	87.08	-76.475	-213.115	1.159732	-0.50752	0.445544	0.0225	0.7965	0.0855	0	297	294	2
2026-02-12	14:41:31.570	91.805	-72.555	-216.58	1.2444	-0.587064	0.399916	0.009	0.753	0.0915	0	297	294	2
2026-02-12	14:41:31.590	127.925	-66.465	-216.825	1.325164	-0.631228	0.361852	0.015	0.723	0.1035	0	297	294	2
2026-02-12	14:41:31.610	164.57	-58.695	-209.02	1.331996	-0.630984	0.310124	0.009	0.7065	0.1095	0	311	292	3
2026-02-12	14:41:31.630	213.78	-50.575	-184.345	1.29564	-0.647088	0.336964	0.009	0.666	0.123	0	311	292	3
2026-02-12	14:41:31.650	232.015	-42.14	-143.36	1.222684	-0.568764	0.366732	0.015	0.6435	0.129	0	311	292	3
2026-02-12	14:41:31.670	217.665	-35.7	-101.885	1.163636	-0.584136	0.388448	0.0225	0.597	0.1515	0	311	292	3
2026-02-12	14:41:31.690	219.87	-27.895	-58.87	1.119716	-0.47092	0.492148	0.015	0.5865	0.159	0	311	292	3
2026-02-12	14:41:31.710	208.18	-15.96	-18.2	1.095804	-0.165188	0.626104	0.03	0.5685	0.174	0	311	292	3
2026-02-12	14:41:31.730	149.45	1.785	14.665	1.066036	0.101504	0.683444	0.0225	0.573	0.1845	0	311	292	3
2026-02-12	14:41:31.750	41.125	20.195	38.71	1.030168	0.134688	0.645624	0.033	0.5745	0.186	0	311	292	3
2026-02-12	14:41:31.770	-62.51	35.315	58.625	1.041392	-0.096624	0.587552	0.027	0.576	0.1815	0	311	292	3
2026-02-12	14:41:31.790	-127.82	46.97	79.415	1.06628	-0.265228	0.525576	0.009	0.5925	0.174	0	311	292	3
2026-02-12	14:41:31.810	-159.25	56.315	98.805	1.05652	-0.349408	0.467992	0.0075	0.6	0.165	0	322	306	3
2026-02-12	14:41:31.830	-167.3	60.585	115.08	1.078968	-0.349408	0.420168	0.0105	0.6135	0.1635	0	322	306	3
2026-02-12	14:41:31.850	-169.82	62.3	130.62	1.060424	-0.364292	0.346724	0.015	0.627	0.162	0	322	306	3
2026-02-12	14:41:31.870	-153.58	60.9	141.33	1.052372	-0.441884	0.305488	0.015	0.627	0.162	0	322	306	3
2026-02-12	14:41:31.890	-117.495	57.785	146.16	1.089704	-0.43676	0.300364	0.006	0.6735	0.1245	0	322	306	3
2026-02-12	14:41:31.910	-82.32	56.105	147.84	1.085068	-0.388448	0.286944	0.006	0.6945	0.105	0	322	306	3
2026-02-12	14:41:31.930	-54.705	56.595	146.3	1.019676	-0.33428	0.270108	0.0045	0.7245	0.105	0	322	306	3
2026-02-12	14:41:31.950	-32.305	54.18	141.925	0.96502	-0.277184	0.267424	0.012	0.753	0.093	0	322	306	3
2026-02-12	14:41:31.970	-17.29	51.555	133.28	0.932568	-0.215208	0.267668	0.009	0.774	0.093	0	322	306	3
2026-02-12	14:41:31.990	-13.545	48.965	121.45	0.874008	-0.158356	0.240828	0.027	0.8025	0.078	0	322	306	3
2026-02-12	14:41:32.010	-20.44	42.525	103.11	0.790072	-0.128344	0.212524	0.027	0.8025	0.078	0	328	327	3
2026-02-12	14:41:32.030	-24.01	36.785	89.95	0.76128	-0.129564	0.204472	0.0285	0.8175	0.0735	0	328	327	3
2026-02-12	14:41:32.050	-26.845	28.595	70.56	0.743468	-0.135176	0.189588	0.036	0.843	0.066	0	328	327	3
2026-02-12	14:41:32.070	-31.115	15.225	40.215	0.699304	-0.15006	0.15738	0.0435	0.8535	0.0615	0	328	327	3
2026-02-12	14:41:32.090	-28.245	4.865	19.355	0.679052	-0.174948	0.161528	0.0435	0.867	0.0615	0	328	327	3
2026-02-12	14:41:32.110	-15.54	-4.48	-2.415	0.669292	-0.195444	0.19764	0.048	0.876	0.054	0	328	327	3
2026-02-12	14:41:32.130	1.435	-12.145	-25.025	0.675148	-0.18178	0.230336	0.051	0.867	0.0615	0	328	327	3
2026-02-12	14:41:32.150	14.875	-18.9	-47.88	0.665144	-0.1708	0.216916	0.039	0.873	0.0615	0	328	327	3
2026-02-12	14:41:32.170	21.77	-27.23	-70.7	0.674172	-0.175924	0.20496	0.036	0.87	0.0585	0	328	327	3
2026-02-12	14:41:32.190	25.655	-36.715	-93.1	0.707112	-0.201788	0.207644	0.039	0.846	0.0615	0	328	327	3
2026-02-12	14:41:30.210	237.65	-26.145	-110.25	1.204384	-0.941352	0.456036	0.0135	0.636	0.117	0	201	284	3
2026-02-12	14:41:30.230	239.995	-16.17	-61.215	1.136552	-0.608292	0.457256	0.0135	0.612	0.126	0	201	284	3
2026-02-12	14:41:30.250	177.73	-5.39	-18.2	1.048224	-0.35502	0.437248	0.021	0.6075	0.1305	0	201	284	3
2026-02-12	14:41:30.270	100.345	4.235	13.685	0.993568	-0.389668	0.417972	0.0075	0.6	0.1335	0	201	284	3
2026-02-12	14:41:30.290	38.43	11.025	42.035	0.996252	-0.401624	0.404064	0.009	0.5985	0.1365	0	201	284	3
2026-02-12	14:41:30.310	-23.415	18.34	67.445	1.029924	-0.467016	0.364536	0.012	0.6075	0.1425	0	201	284	3
2026-02-12	14:41:30.330	-66.99	25.55	91.63	1.08946	-0.563884	0.346724	0.0105	0.6255	0.141	0	201	284	3
2026-02-12	14:41:30.350	-94.92	32.795	123.2	1.151436	-0.597556	0.335012	0.0045	0.63	0.135	0	201	284	3
2026-02-12	14:41:30.370	-105.945	39.27	153.545	1.255624	-0.616832	0.370636	0	0.636	0.129	0	201	284	3
2026-02-12	14:41:30.390	-110.81	47.985	176.015	1.272216	-0.602436	0.386252	0.0075	0.6765	0.123	0	201	284	3
2026-02-12	14:41:30.410	-112.07	54.285	195.23	1.302228	-0.598044	0.343796	0.0075	0.702	0.1125	0	212	271	3
2026-02-12	14:41:30.430	-108.08	58.59	210.56	1.18584	-0.583892	0.254248	0.009	0.7425	0.1095	0	212	271	3
2026-02-12	14:41:30.450	-94.745	54.95	219.135	1.076528	-0.532652	0.210572	0.009	0.7635	0.108	0	212	271	3
2026-02-12	14:41:30.470	-72.555	47.845	218.715	1.000156	-0.431636	0.227652	0.024	0.7965	0.0945	0	212	271	3
2026-02-12	14:41:30.490	-51.73	43.925	209.16	0.88816	-0.306708	0.22814	0.0255	0.849	0.099	0	212	271	3
2026-02-12	14:41:30.510	-41.405	40.005	191.765	0.748104	-0.182268	0.190564	0.0495	0.876	0.0885	0	212	271	3
2026-02-12	14:41:30.530	-42.14	33.74	168.035	0.631716	-0.161528	0.170312	0.0615	0.909	0.0885	0	212	271	3
2026-02-12	14:41:30.550	-37.765	27.93	139.685	0.596092	-0.219356	0.22204	0.069	0.924	0.087	0	212	271	3
2026-02-12	14:41:30.570	-34.895	26.145	102.2	0.569008	-0.223748	0.205204	0.0765	0.9405	0.0855	0	212	271	3
2026-02-12	14:41:30.590	-49.42	24.15	64.89	0.512888	-0.198616	0.127368	0.0765	0.9405	0.0855	0	212	271	3
2026-02-12	14:41:30.610	-64.085	19.145	32.97	0.502152	-0.195444	0.0854	0.1185	0.975	0.093	0	226	271	3
2026-02-12	14:41:30.630	-60.095	14.595	-1.785	0.527772	-0.2074	0.067588	0.126	0.987	0.093	0	226	271	3
2026-02-12	14:41:30.650	-41.72	12.985	-36.33	0.522404	-0.206668	0.061244	0.12	0.9885	0.1005	0	226	271	3
2026-02-12	14:41:30.670	-31.115	10.78	-66.745	0.544608	-0.216428	0.058072	0.123	0.9765	0.1065	0	226	271	3
2026-02-12	14:41:30.690	-33.6	7.98	-94.185	0.554856	-0.26962	0.049288	0.1065	0.984	0.0975	0	226	271	3
2026-02-12	14:41:30.710	-29.47	3.955	-121.8	0.587552	-0.316224	0.086132	0.102	0.972	0.102	0	226	271	3
2026-02-12	14:41:30.730	-17.71	1.96	-148.995	0.627324	-0.345748	0.13176	0.081	0.9465	0.1095	0	226	271	3
2026-02-12	14:41:30.750	-1.225	1.4	-175.84	0.679052	-0.354776	0.146644	0.078	0.9285	0.111	0	226	271	3
2026-02-12	14:41:30.770	21.245	-0.49	-202.895	0.771284	-0.374296	0.144204	0.072	0.9165	0.108	0	226	271	3
2026-02-12	14:41:30.790	65.03	-7.21	-241.815	0.972828	-0.468236	0.171288	0.0675	0.9045	0.105	0	226	271	3
2026-02-12	14:41:40.810	-80.745	84.945	43.75	0.949404	0.088084	0.078324	0.0195	0.774	0.2865	0	336	96	3
2026-02-12	14:41:40.830	-142.03	88.13	42.105	0.913292	-0.200812	-0.004392	0.015	0.7845	0.2715	0	336	96	3
2026-02-12	14:41:40.850	-183.26	88.375	49.49	0.888892	-0.526308	-0.014152	0.0135	0.786	0.2595	0	336	96	3
2026-02-12	14:41:40.870	-186.585	87.815	63.35	0.8235	-0.750544	-0.01586	0.012	0.786	0.2475	0	336	96	3
2026-02-12	14:41:40.890	-157.15	85.4	77.035	0.715408	-0.833748	-0.05856	0.006	0.7905	0.24	0	336	96	3
2026-02-12	14:41:40.910	-109.27	80.92	84.665	0.618296	-0.773724	-0.07686	0.0015	0.792	0.2355	0	336	96	3
2026-02-12	14:41:40.930	-76.545	76.51	85.995	0.558028	-0.605364	-0.060268	0.012	0.7995	0.222	0	336	96	3
2026-02-12	14:41:40.950	-58.765	73.325	78.82	0.497272	-0.484828	0.035624	0.0135	0.8025	0.2115	0	336	96	3
2026-02-12	14:41:40.970	-56.455	72.38	64.855	0.432612	-0.408456	0.128344	0.015	0.822	0.1995	0	336	96	3
2026-02-12	14:41:40.990	-70.735	71.96	42.49	0.361364	-0.424316	0.15372	0.021	0.834	0.204	0	336	96	3
2026-02-12	14:41:41.010	-87.57	69.37	21.525	0.305732	-0.551928	0.09076799	0.021	0.84	0.1965	0	347	91	3
2026-02-12	14:41:41.030	-94.955	63.35	9.905	0.274744	-0.74542	0.049288	0.0195	0.8445	0.1845	0	347	91	3
2026-02-12	14:41:41.050	-87.15	52.43	0.49	0.269864	-0.849608	0.014396	0.0195	0.8385	0.1785	0	347	91	3
2026-02-12	14:41:41.070	-75.67	36.89	-5.95	0.306708	-0.982344	-0.039284	0.0195	0.8385	0.1725	0	347	91	3
2026-02-12	14:41:41.090	-55.615	17.92	-11.55	0.433344	-1.038952	0.042456	0.0195	0.8355	0.1725	0	347	91	3
2026-02-12	14:41:41.110	-39.13	1.085	-14.455	0.64538	-1.07482	0.185196	0.0225	0.8355	0.174	0	347	91	3
2026-02-12	14:41:41.130	-40.985	-9.835	-6.615	0.701256	-1.170712	0.005856	0.024	0.84	0.174	0	347	91	3
2026-02-12	14:41:41.150	-40.04	-19.495	16.205	0.583648	-1.0614	-0.283772	0.015	0.8265	0.171	0	347	91	3
2026-02-12	14:41:41.170	-51.59	-34.58	26.53	0.488	-1.23342	-0.382104	0.015	0.843	0.18	0	347	91	3
2026-02-12	14:41:41.190	-45.71	-45.08	38.43	0.448228	-1.345172	-0.22814	0.0195	0.8295	0.1785	0	347	91	3
2026-02-12	14:41:41.210	-9.555	-59.815	31.325	0.606096	-1.346636	-0.12322	0.018	0.8415	0.189	0	354	73	3
2026-02-12	14:41:41.230	2.275	-72.695	19.425	0.935008	-1.479372	-0.022448	0.024	0.8415	0.198	0	354	73	3
2026-02-12	14:41:41.250	4.865	-80.08	11.48	1.146312	-1.490352	-0.20862	0.0315	0.8475	0.2145	0	354	73	3
2026-02-12	14:41:41.270	54.985	-78.505	24.255	0.939888	-0.875472	-0.368684	0.0345	0.852	0.2295	0	354	73	3
2026-02-12	14:41:41.290	124.215	-89.495	14.56	1.103612	-0.388448	-0.172996	0.039	0.858	0.2445	0	354	73	3
2026-02-12	14:41:41.310	156.275	-88.795	3.78	0.959408	-0.0976	0.066612	0.042	0.867	0.2475	0	354	73	3
2026-02-12	14:41:41.330	153.93	-85.75	-3.465	0.97478	0.027816	0.159332	0.042	0.8685	0.2445	0	354	73	3
2026-02-12	14:41:41.350	111.51	-72.45	-21.315	0.858392	0.145424	0.128832	0.0495	0.8745	0.252	0	354	73	3
2026-02-12	14:41:41.370	57.015	-62.86	-43.82	0.82838	0.08662	0.099308	0.0585	0.882	0.249	0	354	73	3
2026-02-12	14:41:41.390	6.965	-57.47	-64.225	0.791292	-0.113704	0.043676	0.0585	0.8805	0.2595	0	354	73	3
2026-02-12	14:41:41.410	-23.415	-59.01	-75.11	0.785192	-0.586332	-0.063928	0.048	0.8745	0.261	0	366	64	3
